Gene	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	Identity	Fraction	Frameshift events	Best gene	Codons
10116at7898	Single	CM081449.1	25066696	25097248	+	4827	992	0.7809	0.9772727272727273	0	10116at7898	25066697_25066908_+|25068352_25068418_+|25068554_25068679_+|25068950_25069074_+|25072881_25073028_+|25073836_25073937_+|25074027_25074148_+|25074492_25074603_+|25074913_25075060_+|25075157_25075268_+|25077840_25077951_+|25078151_25078423_+|25078532_25078603_+|25078686_25078841_+|25078930_25079107_+|25087814_25088014_+|25088159_25088377_+|25088612_25088829_+|25089119_25089277_+|25089798_25089947_+|25090172_25090325_+|25090437_25090558_+|25091036_25091208_+|25091313_25091446_+|25097223_25097248_+
101184at7898	Single	CM081453.1	41489834	41495119	-	695	203	0.5136	0.9877300613496932	0	101184at7898_9	41495018_41495119_-|41493566_41493757_-|41492117_41492247_-|41490391_41490458_-|41489835_41490274_-
101202at7898	Single	CM081443.1	38923461	38928700	-	1058	269	0.6571	1.0	0	101202at7898_3	38928626_38928700_-|38928067_38928150_-|38927027_38927199_-|38926814_38926937_-|38926541_38926630_-|38925881_38925956_-|38923850_38923943_-|38923589_38923760_-|38923462_38923506_-
101232at7898	Duplicated	CM081451.1	42588530	42593282	+	925	206	0.7071	0.9715447154471545	0	101232at7898_6	42588531_42588593_+|42588777_42588829_+|42589824_42589975_+|42590342_42590503_+|42590607_42590728_+|42593118_42593282_+
101232at7898	Duplicated	CM081451.1	42543120	42547835	-	908	206	0.6971	0.9715447154471545	0	101232at7898_6	42547773_42547835_-|42547538_42547590_-|42546374_42546531_-|42544518_42544679_-|42544289_42544410_-|42543121_42543285_-
101261at7898	Single	CM081438.1	95756926	95787498	-	791	200	0.7037	0.7970479704797048	0	101261at7898_1	95787323_95787498_-|95787147_95787243_-|95760743_95760832_-|95760458_95760602_-|95757161_95757208_-|95756927_95757018_-
101281at7898	Single	CM081454.1	42178836	42191337	-	1016	265	0.67	1.0	0	101281at7898	42191309_42191337_-|42186258_42186492_-|42186093_42186161_-|42185736_42185837_-|42183941_42184045_-|42182906_42183019_-|42179548_42179667_-|42178837_42178947_-
101323at7898	Single	CM081437.1	85246698	85252440	+	592	187	0.5353	1.0	0	101323at7898_7	85246699_85246751_+|85248783_85248924_+|85249197_85249346_+|85249980_85250170_+|85252287_85252440_+
101331at7898	Single	CM081442.1	1738750	1743548	-	748	195	0.6542	0.7925925925925926	0	101331at7898_8	1743062_1743548_-|1738751_1738905_-
101339at7898	Single	CM081437.1	44289965	44296695	+	893	200	0.691	1.0	0	101339at7898_9	44289966_44290071_+|44293815_44293967_+|44294092_44294216_+|44294342_44294481_+|44296521_44296695_+
101344at7898	Single	CM081443.1	7529809	7536819	-	1044	214	0.8465	1.0	0	101344at7898_0	7536721_7536819_-|7534829_7534878_-|7534515_7534593_-|7534170_7534327_-|7532786_7532948_-|7529810_7529989_-
10135at7898	Single	CM081443.1	83483205	83555509	-	4918	870	0.7184	0.9971077368040492	0	10135at7898_0	83555393_83555509_-|83555200_83555296_-|83546107_83546204_-|83545802_83545885_-|83545640_83545707_-|83545456_83545542_-|83544495_83544549_-|83541302_83541502_-|83541142_83541214_-|83535965_83536077_-|83535731_83535796_-|83534882_83534941_-|83534753_83534800_-|83530906_83530986_-|83530550_83530737_-|83528407_83528529_-|83528192_83528294_-|83523849_83523935_-|83523232_83523315_-|83523057_83523134_-|83504476_83504571_-|83504185_83504385_-|83504039_83504092_-|83502880_83503129_-|83501755_83501883_-|83501508_83501669_-|83498512_83498667_-|83498315_83498423_-|83498002_83498075_-|83497692_83497909_-|83491432_83491574_-|83490843_83491162_-|83483438_83483571_-|83483206_83483337_-
101372at7898	Single	CM081449.1	30933297	30940742	-	966	230	0.7128	1.0	0	101372at7898_7	30940669_30940742_-|30940421_30940564_-|30938102_30938163_-|30937015_30937139_-|30933854_30934018_-|30933707_30933771_-|30933558_30933618_-|30933298_30933441_-
101431at7898	Single	CM081449.1	6353890	6364717	+	1490	274	0.8333	1.0	0	101431at7898_1	6353891_6353970_+|6356225_6356309_+|6358998_6359084_+|6359160_6359256_+|6360839_6360981_+|6363366_6363441_+|6363542_6363654_+|6363734_6363838_+|6363909_6364037_+|6364516_6364605_+|6364679_6364717_+
10143at7898	Single	CM081440.1	74151311	74157144	-	2587	877	0.4991	0.9829706717123936	0	10143at7898_7	74154238_74157144_-|74151312_74151515_-
101465at7898	Single	CM081449.1	66751824	66755214	-	778	215	0.6091	1.0	0	101465at7898_1	66755125_66755214_-|66751825_66752463_-
101472at7898	Single	CM081455.1	33451902	33464087	+	1286	202	0.8856	1.0	0	101472at7898_0	33451903_33452422_+|33460209_33460381_+|33463968_33464087_+
101485at7898	Single	CM081452.1	52611390	52612170	-	1238	219	0.9154	1.0	0	101485at7898_1	52611391_52612170_-
101512at7898	Single	CM081438.1	84708462	84758521	+	1234	287	0.6928	1.0	0	101512at7898_1	84708463_84708572_+|84709785_84709914_+|84719456_84719614_+|84723441_84723533_+|84744599_84744814_+|84758258_84758521_+
101520at7898	Single	CM081440.1	60758336	60762134	-	711	214	0.5182	0.8982035928143712	0	101520at7898_6	60761941_60762134_-|60761715_60761825_-|60758337_60758916_-
101523at7898	Single	CM081443.1	33911524	33916415	-	583	206	0.5714	0.9863636363636363	0	101523at7898_4	33916250_33916415_-|33912907_33913082_-|33911900_33912001_-|33911525_33911746_-
101536at7898	Single	CM081451.1	48705536	48706532	+	1002	297	0.5602	0.9352112676056338	0	101536at7898_9	48705537_48706532_+
101538at7898	Single	CM081443.1	42593931	42636495	-	2015	356	0.7631	1.0	0	101538at7898_0	42636372_42636495_-|42600414_42601165_-|42599753_42599893_-|42598757_42598920_-|42597741_42597844_-|42593932_42594137_-
101581at7898	Single	CM081453.1	60974145	60978065	-	1153	217	0.8615	1.0	0	101581at7898_0	60977676_60978065_-|60976240_60976403_-|60974146_60974353_-
101590at7898	Single	CM081453.1	60836536	60843212	-	1114	220	0.763	1.0	0	101590at7898_2	60843189_60843212_-|60842940_60843012_-|60842412_60842549_-|60841559_60841733_-|60840307_60840367_-|60837103_60837180_-|60836921_60837024_-|60836537_60836693_-
101634at7898	Single	CM081454.1	36046859	36053731	+	888	175	0.5731	1.0	0	101634at7898_1	36046860_36046912_+|36047251_36047492_+|36047652_36048017_+|36048546_36048679_+|36053406_36053526_+|36053661_36053731_+
101639at7898	Single	CM081456.1	3755779	3778560	+	1384	261	0.7634	1.0	0	101639at7898_0	3755780_3756085_+|3759558_3759608_+|3759778_3759903_+|3763077_3763244_+|3770447_3770785_+|3778507_3778560_+
101648at7898	Single	CM081435.1	129456489	129481100	-	1189	288	0.6596	1.0	0	101648at7898_9	129481064_129481100_-|129471532_129471738_-|129465517_129465656_-|129463164_129463263_-|129462829_129462896_-|129461323_129461435_-|129461096_129461161_-|129460771_129460924_-|129459685_129459732_-|129456490_129456552_-
101684at7898	Single	CM081437.1	62984125	63010045	+	1117	214	0.8619	0.9835390946502057	0	101684at7898_0	62984126_62984205_+|62984299_62984426_+|62986922_62987106_+|62996968_62997081_+|63009599_63009700_+|63009938_63010045_+
101710at7898	Single	CM081449.1	8303623	8313036	+	1208	230	0.898	0.9306569343065694	0	101710at7898_2	8303624_8303663_+|8306305_8306352_+|8306721_8306767_+|8307391_8307463_+|8307939_8308015_+|8310278_8310370_+|8310448_8310486_+|8310566_8310691_+|8312437_8312513_+|8312892_8313036_+
101724at7898	Single	CM081452.1	16989946	16990723	-	1144	242	0.7181	0.886986301369863	0	101724at7898_4	16989947_16990723_-
101741at7898	Single	CM081446.1	33678868	33680874	+	801	255	0.5714	1.0	0	101741at7898_3	33678869_33679196_+|33680264_33680874_+
101781at7898	Single	CM081437.1	14234198	14242571	+	1144	180	0.9053	0.9878048780487805	0	101781at7898_2	14234199_14234305_+|14240630_14240715_+|14240840_14241015_+|14241098_14241274_+|14242389_14242571_+
101819at7898	Single	CM081439.1	77185824	77199539	+	907	221	0.7109	0.9845559845559846	0	101819at7898_9	77185825_77185933_+|77186242_77186336_+|77186419_77186496_+|77186579_77186661_+|77189470_77189606_+|77196091_77196145_+|77199332_77199539_+
101853at7898	Single	CM081446.1	43144930	43151369	-	1565	312	0.7406	0.9779951100244498	0	101853at7898_0	43151317_43151369_-|43149476_43149638_-|43149196_43149394_-|43148963_43149113_-|43148756_43148865_-|43147787_43147944_-|43144931_43145293_-
101900at7898	Single	CM081451.1	26705412	26728243	-	1292	400	0.5516	1.0	0	101900at7898_4	26728148_26728243_-|26727267_26727371_-|26726740_26726895_-|26724977_26725120_-|26721428_26721478_-|26714536_26714714_-|26712602_26712651_-|26712449_26712499_-|26710516_26710609_-|26710352_26710385_-|26709661_26710273_-|26708784_26708866_-|26705413_26705436_-
101957at7898	Single	CM081447.1	1208269	1231930	-	930	206	0.6308	1.0	0	101957at7898_0	1231830_1231930_-|1224828_1224931_-|1222031_1222176_-|1218859_1218921_-|1216492_1216690_-|1212538_1212668_-|1208270_1208344_-
102009at7898	Single	CM081442.1	52743234	52767737	-	1606	361	0.7015	0.9892241379310345	0	102009at7898_5	52767567_52767737_-|52761856_52761957_-|52752324_52752407_-|52751903_52751982_-|52751753_52751812_-|52751561_52751676_-|52751252_52751411_-|52748551_52748633_-|52748231_52748413_-|52747638_52747771_-|52744128_52744220_-|52743235_52743309_-
10205at7898	Single	CM081441.1	14810441	14879127	-	5645	1037	0.8878	1.0	0	10205at7898_4	14879063_14879127_-|14878836_14878890_-|14877121_14877281_-|14875163_14875281_-|14874735_14874876_-|14874384_14874615_-|14871532_14871716_-|14869917_14870030_-|14869662_14869761_-|14869321_14869406_-|14863173_14863308_-|14862936_14863090_-|14858992_14859106_-|14858212_14858321_-|14851427_14851492_-|14845394_14845520_-|14841326_14841451_-|14838816_14838956_-|14836503_14836613_-|14834580_14834773_-|14833003_14833142_-|14827528_14827597_-|14827020_14827129_-|14823844_14824073_-|14821643_14821756_-|14812337_14812439_-|14810442_14810737_-
102063at7898	Single	CM081445.1	95685694	95695761	+	906	228	0.7036	0.9541984732824428	0	102063at7898_4	95685695_95685760_+|95685852_95685908_+|95686220_95686283_+|95686532_95686578_+|95686667_95686749_+|95686852_95686950_+|95688769_95688904_+|95688991_95689044_+|95695609_95695761_+
102089at7898	Single	CM081439.1	64001443	64003954	+	1490	210	0.9468	1.0	0	102089at7898_0	64001444_64001666_+|64003105_64003292_+|64003466_64003954_+
102113at7898	Single	CM081442.1	36156445	36191214	-	1184	269	0.6877	1.0	0	102113at7898_2	36191082_36191214_-|36183500_36183549_-|36178753_36178917_-|36164865_36164925_-|36164612_36164751_-|36162936_36163045_-|36162771_36162840_-|36156446_36156706_-
102149at7898	Single	CM081445.1	53506451	53542661	-	855	226	0.6555	0.8880597014925373	0	102149at7898_1	53542544_53542661_-|53536777_53536898_-|53536352_53536429_-|53528783_53528929_-|53527671_53527787_-|53506452_53506577_-
102160at7898	Single	CM081450.1	55387026	55397395	+	1378	254	0.9504	1.0	0	102160at7898	55387027_55387161_+|55387230_55387319_+|55396180_55396287_+|55396374_55396707_+|55397136_55397227_+|55397321_55397395_+
102171at7898	Single	CM081451.1	49458803	49566833	-	1077	239	0.6986	0.94	0	102171at7898_3	49566733_49566833_-|49541478_49541523_-|49539869_49539933_-|49538987_49539047_-|49534779_49534851_-|49523224_49523303_-|49522046_49522095_-|49519699_49519766_-|49516788_49516853_-|49516439_49516544_-|49458804_49458933_-
102175at7898	Single	CM081457.1	7430584	7433138	+	846	219	0.5825	0.9283387622149837	0	102175at7898_1	7430585_7430733_+|7432170_7432310_+|7432397_7432716_+|7432815_7432955_+|7433044_7433138_+
102227at7898	Single	JAUHVI010000028.1	735997	867292	+	862	207	0.819	0.958904109589041	0	102227at7898_1	735998_736049_+|739033_739130_+|765809_765963_+|768156_768198_+|780343_780442_+|805707_805771_+|867176_867292_+
102273at7898	Single	CM081439.1	64189596	64196198	-	1246	229	0.9035	1.0	0	102273at7898_0	64195937_64196198_-|64193451_64193647_-|64193220_64193342_-|64189597_64189791_-
102330at7898	Single	CM081438.1	45620601	45676145	+	804	190	0.4771	0.946949602122016	0	102330at7898_6	45620602_45620695_+|45620766_45620874_+|45623096_45623244_+|45652921_45653067_+|45663096_45663438_+|45673848_45673863_+|45673939_45674007_+|45675708_45675872_+|45676032_45676145_+
102341at7898	Single	CM081438.1	66178900	66198412	-	1620	422	0.6702	0.9441117764471058	0	102341at7898_6	66198321_66198412_-|66197145_66197260_-|66194715_66194804_-|66194473_66194548_-|66190403_66190523_-|66189725_66189841_-|66185741_66185878_-|66185523_66185626_-|66185300_66185426_-|66184876_66185043_-|66182757_66182855_-|66182274_66182392_-|66178901_66178928_-
102349at7898	Single	CM081440.1	86291394	86326161	+	2931	608	0.7833	0.9884225759768451	0	102349at7898_8	86291395_86291473_+|86292464_86292532_+|86295106_86295141_+|86295263_86295334_+|86295486_86295539_+|86299855_86299890_+|86303866_86303889_+|86304079_86304132_+|86306727_86306780_+|86306877_86306918_+|86307010_86307066_+|86307162_86307215_+|86309429_86309482_+|86309589_86309642_+|86309756_86309809_+|86309994_86310047_+|86310127_86310180_+|86311187_86311240_+|86311336_86311389_+|86311640_86311684_+|86315130_86315183_+|86319232_86319285_+|86321528_86321581_+|86322932_86323003_+|86323391_86323426_+|86323747_86323791_+|86324068_86324100_+|86324885_86325031_+|86325135_86325189_+|86325286_86325468_+|86325602_86325679_+|86325980_86326161_+
102373at7898	Single	CM081436.1	64058747	64075421	+	862	177	0.6667	0.9873417721518988	0	102373at7898_2	64058748_64058821_+|64058960_64059014_+|64064253_64064302_+|64069438_64069495_+|64069813_64069877_+|64073441_64073554_+|64074064_64074109_+|64075001_64075075_+|64075239_64075421_+
102375at7898	Single	CM081436.1	110010967	110034254	+	1055	220	0.7568	1.0	0	102375at7898_2	110010968_110011022_+|110012528_110012596_+|110024076_110024173_+|110024815_110024964_+|110028073_110028198_+|110033573_110033692_+|110034096_110034254_+
102378at7898	Single	CM081452.1	45283829	45284624	-	544	202	0.4477	1.0	0	102378at7898_0	45283830_45284624_-
102409at7898	Single	CM081441.1	5139331	5174061	+	1378	252	0.8353	0.9879518072289156	0	102409at7898_9	5139332_5139410_+|5145956_5146099_+|5147781_5147875_+|5149750_5149920_+|5152229_5152361_+|5164812_5164924_+|5171852_5171997_+|5174040_5174061_+
10242at7898	Single	CM081451.1	19270144	19375948	+	2103	598	0.4604	0.85041761579347	0	10242at7898_6	19270145_19270218_+|19275456_19275642_+|19276926_19276996_+|19277927_19278065_+|19278142_19278216_+|19295351_19295515_+|19326064_19326216_+|19327632_19328161_+|19336699_19336771_+|19339680_19339902_+|19340053_19340220_+|19342694_19342891_+|19343061_19343167_+|19350102_19350251_+|19355551_19355735_+|19355933_19356057_+|19359411_19359598_+|19373479_19373623_+|19374146_19374308_+|19375591_19375948_+
102483at7898	Single	CM081455.1	43839665	43842626	-	1147	218	0.8346	0.966542750929368	0	102483at7898_9	43842519_43842626_-|43842238_43842436_-|43841701_43841855_-|43840402_43840512_-|43840258_43840327_-|43839666_43839802_-
10259at7898	Single	CM081454.1	43770150	43782573	+	5863	714	0.7226	0.9855345911949686	0	10259at7898_0	43770151_43771341_+|43771468_43773206_+|43778110_43779814_+|43782534_43782573_+
102665at7898	Single	JAUHVI010000028.1	11793	85459	-	1840	377	0.806	1.0	0	102665at7898_0	84935_85459_-|11794_12639_-
102683at7898	Single	CM081449.1	24813749	24825012	-	828	191	0.6822	0.9029535864978903	0	102683at7898_9	24824972_24825012_-|24822912_24822977_-|24820962_24821076_-|24820442_24820549_-|24817173_24817389_-|24813750_24813844_-
102726at7898	Single	CM081440.1	86761124	86767826	-	958	244	0.6498	1.0	0	102726at7898_1	86767617_86767826_-|86767378_86767539_-|86767136_86767300_-|86763315_86763395_-|86761125_86761337_-
102792at7898	Single	CM081435.1	19074931	19082461	+	1001	197	0.7442	1.0	0	102792at7898_7	19074932_19075000_+|19075120_19075151_+|19078905_19078970_+|19079146_19079351_+|19079455_19079528_+|19081085_19081186_+|19082158_19082334_+|19082414_19082461_+
102815at7898	Single	CM081444.1	86783367	86788409	+	861	180	0.7763	1.0	0	102815at7898_3	86783368_86783457_+|86786701_86786907_+|86788050_86788409_+
102845at7898	Single	CM081452.1	13972303	13984259	-	1151	226	0.8095	1.0	0	102845at7898_0	13984176_13984259_-|13979888_13979989_-|13979091_13979297_-|13975883_13976047_-|13973892_13974015_-|13972304_13972440_-
102866at7898	Single	CM081441.1	46045123	46118287	+	1044	230	0.7179	1.0	0	102866at7898_0	46045124_46045220_+|46061867_46062058_+|46076742_46076885_+|46082349_46082573_+|46118172_46118287_+
102919at7898	Single	CM081437.1	43242787	43246611	-	970	264	0.6144	0.8620689655172413	0	102919at7898_8	43246489_43246611_-|43246290_43246381_-|43246100_43246193_-|43245875_43246012_-|43244196_43244260_-|43244012_43244061_-|43243829_43243934_-|43243468_43243563_-|43243102_43243212_-|43242788_43242827_-
102955at7898	Single	CM081443.1	5133031	5143397	-	707	192	0.525	1.0	0	102955at7898_3	5143254_5143397_-|5138443_5138533_-|5137716_5137957_-|5136942_5137072_-|5133515_5133610_-|5133032_5133137_-
102960at7898	Single	CM081438.1	48843073	48843892	-	855	204	0.7309	0.8830645161290323	0	102960at7898_3	48843715_48843892_-|48843447_48843645_-|48843074_48843365_-
102999at7898	Single	CM081444.1	71281957	71282821	-	1086	208	0.7635	1.0	0	102999at7898_0	71281958_71282821_-
103017at7898	Single	CM081435.1	130366382	130372008	+	1165	273	0.5961	1.0	0	103017at7898_3	130366383_130366445_+|130367477_130367579_+|130368672_130368753_+|130368846_130368966_+|130369095_130369223_+|130369438_130369499_+|130371144_130371261_+|130371397_130371808_+|130371923_130372008_+
103032at7898	Single	CM081448.1	70192377	70204704	-	1078	200	0.8729	1.0	0	103032at7898	70204659_70204704_-|70204309_70204400_-|70200490_70200619_-|70200287_70200401_-|70197526_70197676_-|70194932_70195003_-|70192577_70192615_-|70192378_70192431_-
103041at7898	Single	CM081437.1	67574123	67585511	-	1213	235	0.9835	0.8642857142857143	0	103041at7898	67585480_67585511_-|67585173_67585239_-|67579797_67579923_-|67576573_67576640_-|67576381_67576488_-|67576226_67576284_-|67576038_67576140_-|67575285_67575371_-|67574124_67574198_-
103063at7898	Single	CM081440.1	71364020	71369723	-	626	158	0.5472	0.9407114624505929	0	103063at7898_7	71369620_71369723_-|71369363_71369537_-|71364502_71364658_-|71364021_71364334_-
103098at7898	Single	CM081439.1	76677984	76698670	-	1353	241	0.8826	1.0	0	103098at7898_0	76698626_76698670_-|76698458_76698495_-|76688934_76689029_-|76688514_76688596_-|76684783_76684879_-|76684568_76684664_-|76684423_76684473_-|76684243_76684328_-|76683625_76683670_-|76681508_76681569_-|76678229_76678318_-|76677985_76678036_-
103132at7898	Single	CM081444.1	38891816	38897054	+	1173	238	0.7208	0.9935483870967742	0	103132at7898_6	38891817_38891867_+|38892092_38892236_+|38892517_38892580_+|38894907_38894943_+|38895029_38895049_+|38895155_38895181_+|38895294_38895361_+|38895446_38895594_+|38895825_38896057_+|38896772_38896814_+|38896893_38896933_+|38897016_38897054_+
103192at7898	Single	CM081454.1	41507102	41509438	+	1134	198	0.8508	1.0	0	103192at7898_5	41507103_41507300_+|41508550_41508672_+|41508771_41508830_+|41509001_41509184_+|41509260_41509438_+
103263at7898	Single	CM081450.1	34232557	34242965	-	1050	252	0.4738	1.0	0	103263at7898_4	34242724_34242965_-|34239396_34240375_-|34238458_34238540_-|34236570_34236617_-|34236400_34236469_-|34233345_34233433_-|34232558_34232602_-
103286at7898	Single	CM081436.1	53130915	53136379	+	967	190	0.8372	0.8958333333333334	0	103286at7898_1	53130916_53130950_+|53131255_53131362_+|53133473_53133554_+|53134082_53134211_+|53134477_53134583_+|53136197_53136379_+
103287at7898	Single	CM081437.1	20176622	20249679	-	1277	220	0.9114	1.0	0	103287at7898	20249583_20249679_-|20212581_20212725_-|20195100_20195212_-|20188736_20188837_-|20184516_20184655_-|20176623_20176838_-
103297at7898	Single	CM081441.1	93104929	93105770	+	708	207	0.585	1.0	0	103297at7898_2	93104930_93105449_+|93105532_93105770_+
103317at7898	Single	CM081454.1	29045332	29056548	+	1131	226	0.7953	1.0	0	103317at7898_2	29045333_29045462_+|29047096_29047234_+|29052045_29052144_+|29053644_29053813_+|29053895_29053977_+|29056409_29056548_+
103338at7898	Single	CM081437.1	49846766	49853981	-	1067	229	0.8045	0.9851301115241635	0	103338at7898_0	49853719_49853981_-|49853409_49853524_-|49851785_49852020_-|49846767_49846943_-
103348at7898	Single	CM081453.1	62092399	62094701	-	1079	216	0.8189	1.0	0	103348at7898_0	62094646_62094701_-|62093862_62094039_-|62093675_62093776_-|62093458_62093528_-|62093345_62093396_-|62092724_62092858_-|62092583_62092638_-|62092400_62092511_-
103362at7898	Single	CM081455.1	24037083	24047347	+	1247	236	0.8026	1.0	0	103362at7898_0	24037084_24037221_+|24040592_24040666_+|24040765_24040845_+|24040956_24041042_+|24042315_24042502_+|24045561_24045723_+|24047180_24047347_+
103364at7898	Single	CM081439.1	22925740	22932723	+	1366	226	0.9384	1.0	0	103364at7898_2	22925741_22925996_+|22927363_22927571_+|22929472_22929529_+|22929731_22929819_+|22932469_22932723_+
103398at7898	Single	CM081448.1	32116197	32121104	-	1088	232	0.6657	0.9907692307692307	0	103398at7898	32121029_32121104_-|32120497_32120843_-|32119200_32119303_-|32118826_32118925_-|32118533_32118609_-|32118203_32118302_-|32117182_32117253_-|32116353_32116421_-|32116198_32116251_-
103414at7898	Single	CM081443.1	34510111	34531133	+	1195	291	0.3882	0.972972972972973	0	103414at7898_7	34510112_34510241_+|34512503_34512632_+|34518182_34518598_+|34521029_34521861_+|34522136_34522222_+|34522909_34523045_+|34528000_34528156_+|34528441_34528548_+|34530089_34530217_+|34531033_34531133_+
103467at7898	Single	CM081445.1	95674763	95676228	+	1306	219	0.9444	1.0	0	103467at7898_0	95674764_95675088_+|95675744_95676228_+
103473at7898	Single	CM081443.1	100298200	100330434	+	1127	225	0.8296	1.0	0	103473at7898_0	100298201_100298328_+|100301416_100301560_+|100303813_100303953_+|100314523_100314610_+|100314709_100314948_+|100330367_100330434_+
103509at7898	Single	CM081439.1	15805913	15814795	+	1353	315	0.7126	1.0	0	103509at7898	15805914_15806004_+|15806177_15806307_+|15809344_15809697_+|15813754_15813861_+|15814208_15814795_+
103547at7898	Single	CM081436.1	37455941	37456598	+	662	191	0.5845	0.8564814814814815	0	103547at7898_9	37455942_37456598_+
103569at7898	Single	CM081454.1	54574909	54583828	-	1166	242	0.7774	1.0	0	103569at7898_0	54583518_54583828_-|54580515_54580681_-|54577713_54577814_-|54575092_54575242_-|54574910_54574973_-
