# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
102845at7898	Complete	CM081452.1	13972303	13984259	-	1151	226	https://v10-1.orthodb.org/?query=102845at7898	Enolase-phosphatase E1
102866at7898	Complete	CM081441.1	46045123	46118287	+	1044	230	https://v10-1.orthodb.org/?query=102866at7898	R-spondin-1
102919at7898	Complete	CM081437.1	43242787	43246611	-	970	264	https://v10-1.orthodb.org/?query=102919at7898	hemK methyltransferase family member 1
102955at7898	Complete	CM081443.1	5133031	5143397	-	707	192	https://v10-1.orthodb.org/?query=102955at7898	Ribosomal protein L47, mitochondrial
102960at7898	Complete	CM081438.1	48843073	48843892	-	855	204	https://v10-1.orthodb.org/?query=102960at7898	Alpha-ketoglutarate-dependent dioxygenase AlkB-like
102999at7898	Complete	CM081444.1	71281957	71282821	-	1086	208	https://v10-1.orthodb.org/?query=102999at7898	CCAAT/enhancer-binding protein delta
103017at7898	Complete	CM081435.1	130366382	130372008	+	1165	273	https://v10-1.orthodb.org/?query=103017at7898	Cyclin Pas1/PHO80 domain containing 1
103032at7898	Complete	CM081448.1	70192377	70204704	-	1078	200	https://v10-1.orthodb.org/?query=103032at7898	Small GTPase
103041at7898	Complete	CM081437.1	67574123	67585511	-	1213	235	https://v10-1.orthodb.org/?query=103041at7898	Proteasome subunit alpha type
103063at7898	Complete	CM081440.1	71364020	71369723	-	626	158	https://v10-1.orthodb.org/?query=103063at7898	Ets domain
103098at7898	Complete	CM081439.1	76677984	76698670	-	1353	241	https://v10-1.orthodb.org/?query=103098at7898	probable 18S rRNA (guanine-N(7))-methyltransferase
103132at7898	Complete	CM081444.1	38891816	38897054	+	1173	238	https://v10-1.orthodb.org/?query=103132at7898	HORMA domain
103192at7898	Complete	CM081454.1	41507102	41509438	+	1134	198	https://v10-1.orthodb.org/?query=103192at7898	GATA zinc finger domain-containing protein 1
103263at7898	Complete	CM081450.1	34232557	34242965	-	1050	252	https://v10-1.orthodb.org/?query=103263at7898	coilin
103286at7898	Complete	CM081436.1	53130915	53136379	+	967	190	https://v10-1.orthodb.org/?query=103286at7898	Proteasome subunit beta type
103287at7898	Complete	CM081437.1	20176622	20249679	-	1277	220	https://v10-1.orthodb.org/?query=103287at7898	regulating synaptic membrane exocytosis protein 4
103297at7898	Complete	CM081441.1	93104929	93105770	+	708	207	https://v10-1.orthodb.org/?query=103297at7898	Nuclear hormone receptor, ligand-binding domain
103317at7898	Complete	CM081454.1	29045332	29056548	+	1131	226	https://v10-1.orthodb.org/?query=103317at7898	Thioesterase
103338at7898	Complete	CM081437.1	49846766	49853981	-	1067	229	https://v10-1.orthodb.org/?query=103338at7898	Abhydrolase domain containing 14A
103348at7898	Complete	CM081453.1	62092399	62094701	-	1079	216	https://v10-1.orthodb.org/?query=103348at7898	Short-chain dehydrogenase/reductase SDR
103362at7898	Complete	CM081455.1	24037083	24047347	+	1247	236	https://v10-1.orthodb.org/?query=103362at7898	BCP1 family
103364at7898	Complete	CM081439.1	22925740	22932723	+	1366	226	https://v10-1.orthodb.org/?query=103364at7898	Homeobox domain
103398at7898	Complete	CM081448.1	32116197	32121104	-	1088	232	https://v10-1.orthodb.org/?query=103398at7898	Excision repair cross-complementation group 1
103414at7898	Complete	CM081443.1	34510111	34531133	+	1195	291	https://v10-1.orthodb.org/?query=103414at7898	Somatomedin B domain
103467at7898	Complete	CM081445.1	95674763	95676228	+	1306	219	https://v10-1.orthodb.org/?query=103467at7898	Homeobox domain
103473at7898	Complete	CM081443.1	100298200	100330434	+	1127	225	https://v10-1.orthodb.org/?query=103473at7898	Mediator of RNA polymerase II transcription subunit 8
103509at7898	Complete	CM081439.1	15805913	15814795	+	1353	315	https://v10-1.orthodb.org/?query=103509at7898	Basic-leucine zipper domain
103547at7898	Complete	CM081436.1	37455941	37456598	+	662	191	https://v10-1.orthodb.org/?query=103547at7898	GDNF/GAS1
103569at7898	Complete	CM081454.1	54574909	54583828	-	1166	242	https://v10-1.orthodb.org/?query=103569at7898	3-oxo-5-alpha-steroid 4-dehydrogenase 1
103581at7898	Complete	CM081453.1	40334259	40336474	-	705	195	https://v10-1.orthodb.org/?query=103581at7898	Myb/SANT-like DNA-binding domain containing 1
103587at7898	Complete	CM081435.1	55303951	55315401	-	1044	224	https://v10-1.orthodb.org/?query=103587at7898	Isopentenyl-diphosphate delta isomerase 1
103588at7898	Complete	CM081447.1	8570647	8598160	+	793	216	https://v10-1.orthodb.org/?query=103588at7898	Phosphatidylinositol glycan anchor biosynthesis, class L
103600at7898	Complete	CM081437.1	69724253	69778437	-	869	244	https://v10-1.orthodb.org/?query=103600at7898	tRNA pseudouridine synthase
103607at7898	Complete	CM081438.1	51443877	51455791	-	1101	248	https://v10-1.orthodb.org/?query=103607at7898	Limb expression 1
103648at7898	Complete	CM081446.1	43785737	43790730	+	1892	352	https://v10-1.orthodb.org/?query=103648at7898	UPF3 domain
103675at7898	Complete	CM081449.1	51892982	51895949	-	736	186	https://v10-1.orthodb.org/?query=103675at7898	BCL2 associated athanogene 2
103687at7898	Complete	CM081442.1	57377472	57383728	+	1038	223	https://v10-1.orthodb.org/?query=103687at7898	Leucine rich repeat 4
103734at7898	Complete	CM081456.1	27421323	27426470	+	962	182	https://v10-1.orthodb.org/?query=103734at7898	Superoxide dismutase
103779at7898	Complete	CM081455.1	34607158	34613301	-	729	203	https://v10-1.orthodb.org/?query=103779at7898	Mitochondrial ribosomal protein L10
103793at7898	Complete	CM081442.1	17047886	17090533	+	1045	231	https://v10-1.orthodb.org/?query=103793at7898	alpha-ketoglutarate-dependent dioxygenase alkB homolog 3
103806at7898	Complete	CM081443.1	75808948	75811575	-	1292	243	https://v10-1.orthodb.org/?query=103806at7898	Phosphatidylinositol N-acetylglucosaminyltransferase subunit C
103810at7898	Complete	CM081447.1	69507929	69521604	+	986	252	https://v10-1.orthodb.org/?query=103810at7898	Immunoglobulin
103865at7898	Complete	CM081435.1	124285404	124292323	-	1048	204	https://v10-1.orthodb.org/?query=103865at7898	RNA transcription, translation and transport factor protein
103926at7898	Complete	CM081454.1	30191633	30192737	-	665	284	https://v10-1.orthodb.org/?query=103926at7898	Protein of unknown function DUF4653
103973at7898	Complete	CM081437.1	48889444	48891371	+	964	213	https://v10-1.orthodb.org/?query=103973at7898	Haloacid dehalogenase-like hydrolase domain containing 3
103999at7898	Complete	CM081439.1	90288133	90297774	+	554	166	https://v10-1.orthodb.org/?query=103999at7898	SEA domain
104103at7898	Complete	CM081450.1	8408196	8418221	-	1131	197	https://v10-1.orthodb.org/?query=104103at7898	Myc-type, basic helix-loop-helix (bHLH) domain
104115at7898	Complete	CM081440.1	43904902	43924863	-	1107	211	https://v10-1.orthodb.org/?query=104115at7898	MAGE homology domain
104158at7898	Complete	CM081438.1	59735620	59742943	+	646	175	https://v10-1.orthodb.org/?query=104158at7898	selenoprotein P
104187at7898	Complete	CM081441.1	67448512	67457504	-	595	171	https://v10-1.orthodb.org/?query=104187at7898	LysM domain
104188at7898	Complete	CM081436.1	120176977	120185043	-	1024	208	https://v10-1.orthodb.org/?query=104188at7898	NAD(P)-binding domain
10419at7898	Fragmented	CM081437.1	49041316	49054792	+	1163	397	https://v10-1.orthodb.org/?query=10419at7898	protein SFI1 homolog isoform X1
104214at7898	Complete	CM081446.1	43066564	43082853	-	1041	192	https://v10-1.orthodb.org/?query=104214at7898	Tetraspanin
10421at7898	Complete	CM081442.1	73251429	73270715	-	4681	1018	https://v10-1.orthodb.org/?query=10421at7898	DNA mitochondrial polymerase, exonuclease domain
104246at7898	Complete	CM081456.1	44283486	44290739	+	740	175	https://v10-1.orthodb.org/?query=104246at7898	Tumour protein D52
104273at7898	Complete	CM081450.1	31988255	31990333	+	436	215	https://v10-1.orthodb.org/?query=104273at7898	ATPase SWSAP1
104305at7898	Complete	CM081457.1	11350208	11351408	+	1409	322	https://v10-1.orthodb.org/?query=104305at7898	phosphorylated adapter RNA export protein
104332at7898	Duplicated	JAUHVI010000029.1	1016374	1017344	-	804	188	https://v10-1.orthodb.org/?query=104332at7898	Cytochrome b5-like heme/steroid binding domain
104332at7898	Duplicated	CM081453.1	63973336	63974291	+	799	188	https://v10-1.orthodb.org/?query=104332at7898	Cytochrome b5-like heme/steroid binding domain
104342at7898	Complete	CM081448.1	35204355	35271027	+	1165	170	https://v10-1.orthodb.org/?query=104342at7898	von Willebrand factor C domain containing protein 2-like
104401at7898	Complete	CM081443.1	88043525	88052824	-	972	266	https://v10-1.orthodb.org/?query=104401at7898	Magnesium transporter NIPA
104416at7898	Complete	CM081435.1	95278117	95326903	+	994	285	https://v10-1.orthodb.org/?query=104416at7898	NAD(P)-binding domain
104419at7898	Complete	CM081438.1	92543544	92550570	+	1110	330	https://v10-1.orthodb.org/?query=104419at7898	WD40 repeat
104439at7898	Complete	CM081456.1	3924764	3937229	+	865	196	https://v10-1.orthodb.org/?query=104439at7898	Arv1 protein
104453at7898	Complete	CM081441.1	15496124	15496846	-	1063	208	https://v10-1.orthodb.org/?query=104453at7898	Pleckstrin homology domain
104487at7898	Complete	CM081442.1	90106547	90136201	+	1264	211	https://v10-1.orthodb.org/?query=104487at7898	Tetraspanin
104574at7898	Complete	CM081447.1	51811223	51834801	-	961	166	https://v10-1.orthodb.org/?query=104574at7898	glutaredoxin domain-containing cysteine-rich protein 2
104624at7898	Complete	CM081441.1	65745842	65759423	+	1168	214	https://v10-1.orthodb.org/?query=104624at7898	Elongator complex protein 6
10463at7898	Complete	CM081438.1	39759322	39807085	-	4210	986	https://v10-1.orthodb.org/?query=10463at7898	Nrap protein, domain 2
104647at7898	Complete	CM081445.1	30998937	31018869	-	1320	247	https://v10-1.orthodb.org/?query=104647at7898	Aminoacyl tRNA synthetase complex-interacting multifunctional protein 1
104716at7898	Complete	CM081444.1	14833316	14854957	-	529	167	https://v10-1.orthodb.org/?query=104716at7898	TMEM70 family
104761at7898	Complete	CM081443.1	78794959	78855943	+	1431	233	https://v10-1.orthodb.org/?query=104761at7898	Impact, N-terminal
104789at7898	Complete	CM081443.1	36392855	36419521	-	938	201	https://v10-1.orthodb.org/?query=104789at7898	Adenylate kinase, active site lid domain
104834at7898	Complete	CM081448.1	40667122	40667671	-	628	165	https://v10-1.orthodb.org/?query=104834at7898	Transmembrane protein 223
104862at7898	Complete	CM081444.1	51489804	51490881	-	773	232	https://v10-1.orthodb.org/?query=104862at7898	E3 Ubiquitin ligase, GIDE-type
104873at7898	Duplicated	CM081438.1	50434341	50435703	+	761	180	https://v10-1.orthodb.org/?query=104873at7898	TMEM248/TMEM219 domain
104873at7898	Duplicated	CM081438.1	50426789	50428151	+	756	180	https://v10-1.orthodb.org/?query=104873at7898	TMEM248/TMEM219 domain
104918at7898	Complete	CM081445.1	91793337	91800455	-	713	183	https://v10-1.orthodb.org/?query=104918at7898	Zgc
104965at7898	Complete	CM081442.1	80709817	80710624	-	1013	247	https://v10-1.orthodb.org/?query=104965at7898	Leucine-rich repeat
104983at7898	Complete	CM081441.1	104283630	104285644	-	1001	249	https://v10-1.orthodb.org/?query=104983at7898	Enoyl-CoA hydratase/isomerase
105028at7898	Complete	CM081442.1	78691526	78750134	-	1146	217	https://v10-1.orthodb.org/?query=105028at7898	YhhN-like
105040at7898	Complete	CM081441.1	85774066	85780104	+	581	140	https://v10-1.orthodb.org/?query=105040at7898	mitochondrial assembly of ribosomal large subunit protein 1
105080at7898	Complete	CM081436.1	129321461	129402261	+	1071	221	https://v10-1.orthodb.org/?query=105080at7898	Leucine-rich repeat
105095at7898	Complete	CM081435.1	49796336	49818733	+	1184	256	https://v10-1.orthodb.org/?query=105095at7898	Transmembrane protein 241
105135at7898	Complete	CM081443.1	40028194	40040622	-	1470	251	https://v10-1.orthodb.org/?query=105135at7898	Cystatin domain
105171at7898	Complete	CM081435.1	40486909	40494642	-	1096	207	https://v10-1.orthodb.org/?query=105171at7898	Ribosomal protein L30, ferredoxin-like fold domain
105186at7898	Complete	CM081454.1	34685768	34699829	+	1042	216	https://v10-1.orthodb.org/?query=105186at7898	DnaJ domain
105215at7898	Complete	CM081449.1	78276070	78283323	-	1391	242	https://v10-1.orthodb.org/?query=105215at7898	ventral anterior homeobox 1
105249at7898	Complete	CM081436.1	52267083	52288015	-	1021	190	https://v10-1.orthodb.org/?query=105249at7898	Dual specificity phosphatase, catalytic domain
105260at7898	Complete	CM081437.1	29095452	29096055	+	841	157	https://v10-1.orthodb.org/?query=105260at7898	nerve growth factor-like
10527at7898	Complete	CM081443.1	80184811	80257748	+	4069	1042	https://v10-1.orthodb.org/?query=10527at7898	Immunoglobulin
105284at7898	Complete	CM081439.1	64152729	64157565	-	907	197	https://v10-1.orthodb.org/?query=105284at7898	Folate receptor-like
105324at7898	Complete	CM081439.1	23203796	23207730	+	985	205	https://v10-1.orthodb.org/?query=105324at7898	Phosphoserine phosphatase
105343at7898	Complete	CM081435.1	35029151	35040892	-	693	206	https://v10-1.orthodb.org/?query=105343at7898	Shisa family
105408at7898	Complete	CM081440.1	76790718	76817496	-	790	185	https://v10-1.orthodb.org/?query=105408at7898	Zinc finger, RING-type
105453at7898	Complete	CM081442.1	76027114	76037637	+	986	204	https://v10-1.orthodb.org/?query=105453at7898	Ets domain
105488at7898	Complete	CM081443.1	93541646	93548199	+	905	182	https://v10-1.orthodb.org/?query=105488at7898	thymidylate kinase
105503at7898	Complete	CM081441.1	74860714	74864262	+	1012	191	https://v10-1.orthodb.org/?query=105503at7898	EMG1 N1-specific pseudouridine methyltransferase
105504at7898	Complete	CM081448.1	26932923	26941800	+	524	188	https://v10-1.orthodb.org/?query=105504at7898	kinetochore protein Spc25
10551at7898	Complete	CM081448.1	72731401	72865622	-	5199	1025	https://v10-1.orthodb.org/?query=10551at7898	Exportin-1, C-terminal
105551at7898	Complete	CM081452.1	60432682	60439994	+	1016	220	https://v10-1.orthodb.org/?query=105551at7898	Zinc finger, RING-type
10556at7898	Complete	CM081436.1	78317371	78380705	+	4737	874	https://v10-1.orthodb.org/?query=10556at7898	EGF domain
105584at7898	Complete	CM081443.1	80090759	80098080	-	1034	227	https://v10-1.orthodb.org/?query=105584at7898	Gdt1 family
105591at7898	Complete	CM081454.1	39627513	39632594	-	2063	277	https://v10-1.orthodb.org/?query=105591at7898	splicing factor 3B subunit 4
105637at7898	Complete	CM081435.1	30600113	30612434	-	1093	194	https://v10-1.orthodb.org/?query=105637at7898	Scramblase
105664at7898	Complete	CM081435.1	53637673	53654861	+	1052	220	https://v10-1.orthodb.org/?query=105664at7898	regulator of G-protein signaling 9-binding protein B-like
105670at7898	Complete	CM081447.1	51220345	51228104	-	1252	217	https://v10-1.orthodb.org/?query=105670at7898	Yip1 domain
105789at7898	Complete	CM081446.1	13216000	13216762	+	1116	195	https://v10-1.orthodb.org/?query=105789at7898	Mediator complex, subunit Med7
105792at7898	Complete	CM081435.1	34606805	34609747	-	625	192	https://v10-1.orthodb.org/?query=105792at7898	Homeobox domain
105898at7898	Complete	CM081445.1	71895589	71903766	+	892	198	https://v10-1.orthodb.org/?query=105898at7898	endoplasmic reticulum resident protein 27
105907at7898	Complete	CM081450.1	68690118	68707719	-	777	198	https://v10-1.orthodb.org/?query=105907at7898	RAD52 motif-containing protein 1
106003at7898	Complete	CM081447.1	57516344	57539351	-	666	207	https://v10-1.orthodb.org/?query=106003at7898	Methyltransferase domain
106052at7898	Complete	CM081435.1	69280993	69314097	-	1084	245	https://v10-1.orthodb.org/?query=106052at7898	C-type lectin-like
106078at7898	Complete	CM081449.1	17659567	17679696	-	988	261	https://v10-1.orthodb.org/?query=106078at7898	BART domain
106079at7898	Complete	CM081436.1	91390753	91464368	-	1099	249	https://v10-1.orthodb.org/?query=106079at7898	Transmembrane protein 255
106177at7898	Complete	CM081449.1	17233259	17236685	-	1372	242	https://v10-1.orthodb.org/?query=106177at7898	Myozenin
106239at7898	Complete	CM081442.1	57078947	57093607	+	980	223	https://v10-1.orthodb.org/?query=106239at7898	F-box and leucine-rich protein 22
106267at7898	Complete	CM081439.1	16328969	16333530	-	1067	231	https://v10-1.orthodb.org/?query=106267at7898	Mitochondrial ribosomal protein L28
106334at7898	Complete	CM081454.1	32778455	32783897	-	1542	258	https://v10-1.orthodb.org/?query=106334at7898	negative elongation factor E
