Gene	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	Identity	Fraction	Frameshift events	Best gene	Codons
10135at7898	Duplicated	CM081443.1_RagTag	97243561	97321522	-	4916	870	0.7184	0.9971077368040492	0	10135at7898_0	97321406_97321522_-|97321213_97321309_-|97311211_97311308_-|97310906_97310989_-|97310744_97310811_-|97310560_97310646_-|97309604_97309658_-|97306411_97306611_-|97306251_97306323_-|97301079_97301191_-|97300845_97300910_-|97299996_97300055_-|97299867_97299914_-|97296984_97297064_-|97296628_97296815_-|97294447_97294569_-|97294232_97294334_-|97292016_97292102_-|97291398_97291481_-|97291223_97291300_-|97272715_97272810_-|97272424_97272624_-|97272278_97272331_-|97271086_97271335_-|97269961_97270089_-|97269714_97269875_-|97266707_97266862_-|97266510_97266618_-|97266197_97266270_-|97265898_97266115_-|97259634_97259776_-|97259036_97259355_-|97243794_97243927_-|97243562_97243693_-
101372at7898	Single	CM081449.1_RagTag	33743957	33751403	-	966	230	0.7128	1.0	0	101372at7898_7	33751330_33751403_-|33751082_33751225_-|33748777_33748838_-|33747690_33747814_-|33744514_33744678_-|33744367_33744431_-|33744218_33744278_-|33743958_33744101_-
101431at7898	Single	CM081449.1_RagTag	6566265	6577637	+	1490	274	0.8333	1.0	0	101431at7898_1	6566266_6566345_+|6568594_6568678_+|6571906_6571992_+|6572068_6572164_+|6573745_6573887_+|6576278_6576353_+|6576454_6576566_+|6576652_6576756_+|6576827_6576955_+|6577442_6577531_+|6577599_6577637_+
10143at7898	Duplicated	ptg002230l_RagTag	96487	102324	-	2588	877	0.4991	0.9829706717123936	0	10143at7898_7	99418_102324_-|96488_96691_-
10143at7898	Duplicated	CM081440.1_RagTag	78188611	78194448	-	2587	877	0.4991	0.9829706717123936	0	10143at7898_7	78191542_78194448_-|78188612_78188815_-
101465at7898	Duplicated	CM081449.1_RagTag	76711544	76714975	-	778	215	0.6091	1.0	0	101465at7898_1	76714886_76714975_-|76711545_76712183_-
101465at7898	Duplicated	CM081449.1_RagTag	76181914	76185357	-	774	215	0.6049	1.0	0	101465at7898_1	76185268_76185357_-|76181915_76182553_-
101472at7898	Duplicated	ptg003010l_RagTag	458591	470771	-	1286	202	0.8856	1.0	0	101472at7898_0	470252_470771_-|462295_462467_-|458592_458711_-
101472at7898	Duplicated	CM081455.1_RagTag	50618083	50630274	+	1286	202	0.8856	1.0	0	101472at7898_0	50618084_50618603_+|50626402_50626574_+|50630155_50630274_+
101485at7898	Single	CM081452.1_RagTag	61946529	61947309	-	1238	219	0.9154	1.0	0	101485at7898_1	61946530_61947309_-
101512at7898	Single	CM081438.1_RagTag	99076642	99131546	+	1234	287	0.6928	1.0	0	101512at7898_1	99076643_99076752_+|99077968_99078097_+|99087588_99087746_+|99091557_99091649_+|99118800_99119015_+|99131283_99131546_+
101520at7898	Single	ptg003864l_RagTag	39408	50475	-	478	215	0.4	1.0	0	101520at7898	50372_50475_-|43016_43084_-|42790_42900_-|39409_39988_-
101523at7898	Duplicated	CM081443.1_RagTag	39499788	39504671	-	583	206	0.5714	0.9863636363636363	0	101523at7898_4	39504506_39504671_-|39501168_39501343_-|39500164_39500265_-|39499789_39500010_-
101523at7898	Duplicated	ptg003789l_RagTag	563504	568108	-	583	206	0.5714	0.9863636363636363	0	101523at7898_4	567943_568108_-|564886_565061_-|563880_563981_-|563505_563726_-
101536at7898	Single	CM081451.1_RagTag	54531781	54532777	+	1002	297	0.5602	0.9352112676056338	0	101536at7898_9	54531782_54532777_+
101538at7898	Single	CM081443.1_RagTag	51202692	51246559	-	1996	356	0.7645	1.0	0	101538at7898_0	51246435_51246559_-|51209128_51209879_-|51208497_51208637_-|51207501_51207664_-|51206485_51206588_-|51202693_51202898_-
101581at7898	Single	CM081453.1_RagTag	97131321	97135241	-	1157	217	0.8654	1.0	0	101581at7898_0	97134852_97135241_-|97133413_97133576_-|97131322_97131529_-
101590at7898	Single	CM081453.1_RagTag	96989408	96996108	-	1118	220	0.763	1.0	0	101590at7898_2	96996085_96996108_-|96995836_96995908_-|96995297_96995434_-|96994447_96994621_-|96993193_96993253_-|96989978_96990055_-|96989796_96989899_-|96989409_96989565_-
101634at7898	Single	CM081454.1_RagTag	41064228	41071075	+	895	175	0.576	1.0	0	101634at7898_1	41064229_41064281_+|41064620_41064861_+|41065021_41065386_+|41065894_41066027_+|41070750_41070870_+|41071005_41071075_+
101639at7898	Single	CM081456.1_RagTag	5050271	5074604	+	1050	261	0.6267	1.0	0	101639at7898	5050272_5050583_+|5054179_5054229_+|5054399_5054524_+|5057510_5057677_+|5066555_5066893_+|5074551_5074604_+
101648at7898	Single	CM081435.1_RagTag	155533928	155554778	-	1190	288	0.6566	1.0	0	101648at7898_9	155554742_155554778_-|155548634_155548840_-|155542830_155542969_-|155540507_155540606_-|155540172_155540239_-|155538665_155538777_-|155538438_155538503_-|155538103_155538256_-|155537041_155537088_-|155533929_155533991_-
101684at7898	Duplicated	CM081437.1_RagTag	74620251	74637304	+	1117	214	0.8619	0.9835390946502057	0	101684at7898_0	74620252_74620331_+|74620425_74620552_+|74623028_74623212_+|74630327_74630440_+|74636858_74636959_+|74637197_74637304_+
101684at7898	Duplicated	CM081445.1_RagTag	4207617	4208330	+	1062	214	0.8494	0.9835390946502057	0	101684at7898_0	4207618_4208330_+
101710at7898	Single	CM081449.1_RagTag	8527223	8536210	+	1208	230	0.898	0.9306569343065694	0	101710at7898_2	8527224_8527263_+|8529785_8529832_+|8530186_8530232_+|8530819_8530891_+|8531385_8531461_+|8533453_8533545_+|8533626_8533664_+|8533744_8533869_+|8535621_8535697_+|8536066_8536210_+
101724at7898	Single	CM081452.1_RagTag	20395272	20396049	-	1147	242	0.722	0.886986301369863	0	101724at7898_4	20395273_20396049_-
101741at7898	Duplicated	ptg004505l_RagTag	127557	129596	+	1140	255	0.7053	1.0	0	101741at7898_0	127558_127876_+|128989_129596_+
101741at7898	Duplicated	CM081446.1_RagTag	40674398	40676435	+	1121	255	0.6969	1.0	0	101741at7898_0	40674399_40674720_+|40675828_40676435_+
101781at7898	Single	CM081437.1_RagTag	17066603	17074969	+	1144	180	0.9053	0.9878048780487805	0	101781at7898_2	17066604_17066710_+|17073034_17073119_+|17073248_17073423_+|17073505_17073681_+|17074787_17074969_+
101819at7898	Duplicated	ptg001634l_RagTag	172491	186651	-	904	221	0.7109	0.9845559845559846	0	101819at7898_9	186543_186651_-|186130_186224_-|185970_186047_-|185805_185887_-|182493_182629_-|175907_175961_-|172492_172699_-
101819at7898	Duplicated	CM081439.1_RagTag	91204774	91218933	+	904	221	0.7109	0.9845559845559846	0	101819at7898_9	91204775_91204883_+|91205202_91205296_+|91205379_91205456_+|91205539_91205621_+|91208797_91208933_+|91215465_91215519_+|91218726_91218933_+
101853at7898	Single	CM081446.1_RagTag	51192872	51199335	-	1364	312	0.6584	0.9780487804878049	0	101853at7898_4	51199283_51199335_-|51197415_51197577_-|51197130_51197333_-|51196902_51197044_-|51196695_51196804_-|51195729_51195886_-|51192873_51193235_-
101900at7898	Single	CM081451.1_RagTag	29705073	29728141	-	1281	400	0.5498	1.0	0	101900at7898_4	29728046_29728141_-|29727165_29727269_-|29726638_29726793_-|29724867_29725010_-|29721322_29721372_-|29714478_29714656_-|29712492_29712541_-|29712339_29712389_-|29710145_29710238_-|29709981_29710014_-|29709290_29709902_-|29708440_29708522_-|29705074_29705097_-
101957at7898	Single	CM081447.1_RagTag	1057064	1079989	-	930	206	0.6308	1.0	0	101957at7898_0	1079889_1079989_-|1074821_1074924_-|1073530_1073675_-|1067618_1067680_-|1065249_1065447_-|1061305_1061435_-|1057065_1057139_-
102009at7898	Duplicated	CM081442.1_RagTag	60581723	60605794	-	1551	361	0.6829	0.9635193133047211	0	102009at7898_4	60605642_60605794_-|60600221_60600322_-|60590697_60590780_-|60590276_60590355_-|60590126_60590185_-|60589928_60590043_-|60589619_60589778_-|60587055_60587137_-|60586735_60586917_-|60586141_60586274_-|60582616_60582708_-|60581724_60581798_-
102009at7898	Duplicated	ptg002864l_RagTag	111439	135853	-	1544	361	0.6807	0.9635193133047211	0	102009at7898_4	135701_135853_-|129992_130093_-|120399_120482_-|119978_120057_-|119828_119887_-|119630_119745_-|119321_119480_-|116765_116847_-|116445_116627_-|115852_115985_-|112332_112424_-|111440_111514_-
10205at7898	Single	CM081441.1_RagTag	17020301	17088975	-	5645	1037	0.8878	1.0	0	10205at7898_4	17088911_17088975_-|17088684_17088738_-|17086967_17087127_-|17085021_17085139_-|17084593_17084734_-|17084242_17084473_-|17081396_17081580_-|17079781_17079894_-|17079526_17079625_-|17079185_17079270_-|17073030_17073165_-|17072793_17072947_-|17068849_17068963_-|17068069_17068178_-|17061276_17061341_-|17055237_17055363_-|17051174_17051299_-|17048651_17048791_-|17046650_17046760_-|17044728_17044921_-|17043152_17043291_-|17037649_17037718_-|17037151_17037260_-|17033982_17034211_-|17031484_17031597_-|17022176_17022278_-|17020302_17020597_-
102063at7898	Single	CM081445.1_RagTag	110728551	110738982	+	907	228	0.7036	0.9541984732824428	0	102063at7898_4	110728552_110728617_+|110728709_110728765_+|110729085_110729148_+|110729419_110729465_+|110729554_110729636_+|110729739_110729837_+|110732402_110732537_+|110732624_110732677_+|110738830_110738982_+
102089at7898	Single	CM081439.1_RagTag	77249474	77251940	+	1490	210	0.9468	1.0	0	102089at7898_0	77249475_77249697_+|77251091_77251278_+|77251452_77251940_+
102113at7898	Single	CM081442.1_RagTag	41574436	41606060	-	1183	267	0.6946	1.0	0	102113at7898_4	41605928_41606060_-|41598588_41598637_-|41593873_41594037_-|41582831_41582891_-|41582578_41582717_-|41580900_41581009_-|41580735_41580804_-|41574437_41574685_-
102149at7898	Duplicated	CM081445.1_RagTag	61648883	61676848	-	855	226	0.6555	0.8880597014925373	0	102149at7898_1	61676731_61676848_-|61671912_61672033_-|61671487_61671564_-|61665323_61665469_-|61664208_61664324_-|61648884_61649009_-
102149at7898	Duplicated	CM081445.1_RagTag	61774214	61808098	-	855	226	0.6555	0.8880597014925373	0	102149at7898_1	61807981_61808098_-|61802234_61802355_-|61801792_61801869_-|61794248_61794394_-|61793201_61793317_-|61774215_61774340_-
102160at7898	Single	CM081450.1_RagTag	61955886	61964598	+	1378	254	0.9504	1.0	0	102160at7898	61955887_61956021_+|61956090_61956179_+|61963408_61963515_+|61963602_61963935_+|61964351_61964442_+|61964524_61964598_+
102171at7898	Single	CM081451.1_RagTag	55274016	55385658	-	1075	239	0.6986	0.94	0	102171at7898_3	55385558_55385658_-|55359233_55359278_-|55357630_55357694_-|55356748_55356808_-|55352628_55352700_-|55338983_55339062_-|55337809_55337858_-|55335462_55335529_-|55332548_55332613_-|55332197_55332302_-|55274017_55274146_-
102175at7898	Single	CM081457.1_RagTag	8073430	8166990	+	649	213	0.4456	0.9034267912772586	0	102175at7898_8	8073431_8073505_+|8164499_8164602_+|8166048_8166188_+|8166267_8166550_+|8166685_8166825_+|8166914_8166990_+
102227at7898	Single	JAUHVI010000028.1_RagTag	689231	807600	+	862	207	0.819	0.958904109589041	0	102227at7898_1	689232_689283_+|693840_693937_+|711359_711513_+|713977_714019_+|725660_725759_+|751107_751171_+|807484_807600_+
102273at7898	Single	CM081439.1_RagTag	77442465	77449070	-	1246	229	0.9035	1.0	0	102273at7898_0	77448809_77449070_-|77446316_77446512_-|77446085_77446207_-|77442466_77442660_-
102330at7898	Single	CM081438.1_RagTag	52235746	52361548	+	796	190	0.4747	0.946949602122016	0	102330at7898_6	52235747_52235840_+|52235911_52236019_+|52241404_52241552_+|52338430_52338576_+|52348614_52348956_+|52359261_52359276_+|52359352_52359420_+|52361126_52361290_+|52361435_52361548_+
102341at7898	Duplicated	CM081438.1_RagTag	76476747	76495260	-	1628	422	0.6744	0.9441117764471058	0	102341at7898_6	76495169_76495260_-|76493995_76494110_-|76491593_76491682_-|76491351_76491426_-|76487279_76487399_-|76486600_76486716_-|76482605_76482742_-|76482387_76482490_-|76482164_76482290_-|76481740_76481907_-|76479607_76479705_-|76479122_76479240_-|76476748_76476775_-
102341at7898	Duplicated	CM081438.1_RagTag	77042727	77060831	-	1628	422	0.6744	0.9441117764471058	0	102341at7898_6	77060740_77060831_-|77059555_77059670_-|77057142_77057231_-|77056900_77056975_-|77052830_77052950_-|77052149_77052265_-|77048641_77048778_-|77048423_77048526_-|77048200_77048326_-|77047781_77047948_-|77045628_77045726_-|77045097_77045215_-|77042728_77042755_-
102349at7898	Single	CM081440.1_RagTag	93034389	93069250	+	2921	608	0.7818	0.9884225759768451	0	102349at7898_8	93034390_93034468_+|93035459_93035527_+|93038124_93038159_+|93038281_93038352_+|93038504_93038557_+|93042884_93042919_+|93046904_93046927_+|93047117_93047170_+|93049767_93049820_+|93049917_93049958_+|93050050_93050106_+|93050202_93050255_+|93052482_93052535_+|93052642_93052695_+|93052809_93052862_+|93053045_93053098_+|93053178_93053231_+|93054237_93054290_+|93054386_93054439_+|93054690_93054734_+|93058181_93058234_+|93062284_93062337_+|93064604_93064657_+|93066008_93066079_+|93066471_93066506_+|93066829_93066873_+|93067146_93067178_+|93067963_93068109_+|93068213_93068267_+|93068364_93068546_+|93068691_93068768_+|93069069_93069250_+
102373at7898	Single	CM081436.1_RagTag	79493059	79509379	+	660	178	0.5168	0.9147286821705426	0	102373at7898	79493060_79493176_+|79498434_79498483_+|79503613_79503670_+|79503986_79504050_+|79507442_79507555_+|79508059_79508104_+|79508956_79509030_+|79509194_79509379_+
102375at7898	Single	CM081436.1_RagTag	134539336	134564660	+	1055	220	0.7568	1.0	0	102375at7898_2	134539337_134539391_+|134540915_134540983_+|134552859_134552956_+|134553608_134553757_+|134556839_134556964_+|134563981_134564100_+|134564502_134564660_+
102378at7898	Duplicated	CM081452.1_RagTag	53033136	53033931	-	544	202	0.4477	1.0	0	102378at7898_0	53033137_53033931_-
102378at7898	Duplicated	CM081452.1_RagTag	53262323	53263118	-	544	202	0.4477	1.0	0	102378at7898_0	53262324_53263118_-
102409at7898	Single	CM081441.1_RagTag	5938795	5973650	+	1378	252	0.8353	0.9879518072289156	0	102409at7898_9	5938796_5938874_+|5945458_5945601_+|5947280_5947374_+|5949344_5949514_+|5951806_5951938_+|5964403_5964515_+|5971445_5971590_+|5973629_5973650_+
10242at7898	Duplicated	CM081451.1_RagTag	21748665	21854080	+	2108	598	0.4645	0.8413059984813971	0	10242at7898_6	21748666_21748739_+|21753975_21754161_+|21755447_21755517_+|21756448_21756568_+|21756645_21756719_+|21770821_21770985_+|21801565_21801717_+|21803133_21803662_+|21812155_21812227_+|21815135_21815357_+|21815508_21815675_+|21817698_21817895_+|21819438_21819544_+|21826541_21826690_+|21831988_21832172_+|21832370_21832494_+|21835853_21836040_+|21851662_21851806_+|21852329_21852491_+|21853762_21854080_+
10242at7898	Duplicated	CM081451.1_RagTag	21951996	22039430	+	2006	554	0.4728	0.7676537585421412	0	10242at7898_6	21951997_21952073_+|21953002_21953122_+|21953199_21953273_+|21959978_21960142_+|21990747_21990899_+|21992309_21992838_+|22001329_22001401_+|22004309_22004531_+|22004682_22004849_+|22007323_22007520_+|22007690_22007796_+|22014736_22014885_+|22020184_22020368_+|22020566_22020690_+|22024045_22024232_+|22037002_22037146_+|22037669_22037831_+|22039112_22039430_+
102483at7898	Single	CM081455.1_RagTag	62717983	62720950	-	1147	218	0.8346	0.966542750929368	0	102483at7898_9	62720843_62720950_-|62720562_62720760_-|62720024_62720178_-|62718718_62718828_-|62718574_62718643_-|62717984_62718120_-
10259at7898	Duplicated	CM081454.1_RagTag	50302938	50315355	+	5866	714	0.722	0.9855345911949686	0	10259at7898_0	50302939_50304129_+|50304256_50305994_+|50310893_50312597_+|50315316_50315355_+
10259at7898	Duplicated	CM081454.1_RagTag	50165827	50178330	+	5865	714	0.722	0.9855345911949686	0	10259at7898_0	50165828_50167018_+|50167145_50168883_+|50173867_50175571_+|50178291_50178330_+
102665at7898	Single	CM081450.1_RagTag	7339894	7374207	-	971	332	0.5427	0.9181034482758621	0	102665at7898_6	7373764_7374207_-|7339895_7340578_-
102683at7898	Single	CM081449.1_RagTag	27221453	27232489	-	828	191	0.6822	0.9029535864978903	0	102683at7898_9	27232449_27232489_-|27230373_27230438_-|27228438_27228552_-|27227918_27228025_-|27224669_27224885_-|27221454_27221548_-
102726at7898	Duplicated	ptg003004l_RagTag	91391	98609	-	958	244	0.6498	1.0	0	102726at7898_1	98400_98609_-|98161_98322_-|97919_98083_-|94067_94147_-|91392_91604_-
102726at7898	Duplicated	CM081440.1_RagTag	93521136	93528164	-	958	244	0.6498	1.0	0	102726at7898_1	93527955_93528164_-|93527716_93527877_-|93527474_93527638_-|93523646_93523726_-|93521137_93521349_-
102792at7898	Single	CM081435.1_RagTag	22363929	22371484	+	978	197	0.7432	1.0	0	102792at7898_7	22363930_22363998_+|22364118_22364149_+|22367901_22367966_+|22368142_22368347_+|22368451_22368524_+|22370101_22370202_+|22371173_22371350_+|22371437_22371484_+
