GENE	obeta_ncbi	obeta_ragtag_ncbi	obeta_ragtag_tama
ENSCGOG00000021419	I	UL	UL
ENSCGOG00000009631	I	I	I
ENSCGOG00000019217	I	I	I
ENSCGOG00000003613	I	I	I
ENSCGOG00000005908	I	I	I
ENSCGOG00000009528	I	I	I
ENSCGOG00000019743	UL	I	I
ENSCGOG00000012631	I	I	I
ENSCGOG00000004465	I	I	I
ENSCGOG00000003838	I	I	I
ENSCGOG00000018433	I	I	I
ENSCGOG00000021521	I	I	I
ENSCGOG00000019789	I	I	I
ENSCGOG00000015972	I	I	I
ENSCGOG00000015063	L	L	L
ENSCGOG00000016922	I	I	I
ENSCGOG00000012714	I	I	I
ENSCGOG00000009787	I	UL	UL
ENSCGOG00000003595	I	I	I
ENSCGOG00000005583	I	I	I
ENSCGOG00000004987	I	I	I
ENSCGOG00000008668	I	I	I
ENSCGOG00000005994	UL	I	I
ENSCGOG00000016671	I	I	I
ENSCGOG00000001200	I	I	I
ENSCGOG00000009747	I	I	I
ENSCGOG00000001834	I	I	I
ENSCGOG00000016429	I	I	I
ENSCGOG00000015901	I	I	I
ENSCGOG00000019804	I	I	I
ENSCGOG00000018990	I	I	I
ENSCGOG00000015016	I	I	I
ENSCGOG00000005763	I	L	L
ENSCGOG00000016387	I	I	I
ENSCGOG00000016623	I	I	I
ENSCGOG00000018524	I	I	I
ENSCGOG00000022850	PG	PG	PG
ENSCGOG00000012653	I	I	I
ENSCGOG00000005109	L	L	M
ENSCGOG00000006888	I	I	I
ENSCGOG00000018910	I	I	I
ENSCGOG00000023241	L	M	M
ENSCGOG00000023003	I	I	I
ENSCGOG00000006069	I	I	I
ENSCGOG00000022913	I	I	I
ENSCGOG00000013315	I	I	I
ENSCGOG00000013001	L	L	L
ENSCGOG00000003736	I	I	I
ENSCGOG00000024301	I	UL	UL
ENSCGOG00000019626	I	I	I
ENSCGOG00000019781	L	L	L
ENSCGOG00000003179	I	I	I
ENSCGOG00000011025	L	L	L
ENSCGOG00000003054	I	I	L
ENSCGOG00000010809	I	I	I
ENSCGOG00000015136	I	I	I
ENSCGOG00000023623	I	I	I
ENSCGOG00000008980	I	I	I
ENSCGOG00000007437	L	L	L
ENSCGOG00000021457	UL	UL	UL
ENSCGOG00000017273	UL	UL	UL
ENSCGOG00000000748	I	I	I
ENSCGOG00000015414	I	I	I
ENSCGOG00000006025	I	I	I
ENSCGOG00000019952	I	I	I
ENSCGOG00000019152	I	I	I
ENSCGOG00000011167	PG	PG	PG
ENSCGOG00000009258	I	I	I
ENSCGOG00000001173	I	I	I
ENSCGOG00000008008	UL	UL	UL
ENSCGOG00000009369	I	I	I
ENSCGOG00000020465	I	I	I
ENSCGOG00000024702	I	I	I
ENSCGOG00000021215	I	I	I
ENSCGOG00000009180	I	I	I
ENSCGOG00000011566	I	I	I
ENSCGOG00000017897	I	I	I
ENSCGOG00000018345	I	I	I
ENSCGOG00000006365	L	L	L
ENSCGOG00000024533	I	I	I
ENSCGOG00000021738	I	I	I
ENSCGOG00000002914	I	I	I
ENSCGOG00000021467	L	L	L
ENSCGOG00000009145	I	I	I
ENSCGOG00000003807	I	I	I
ENSCGOG00000024390	I	I	I
ENSCGOG00000009030	UL	UL	UL
ENSCGOG00000021358	I	I	I
ENSCGOG00000010437	I	I	I
ENSCGOG00000005934	I	I	I
ENSCGOG00000001713	L	L	L
ENSCGOG00000004824	I	I	I
ENSCGOG00000019512	L	L	L
ENSCGOG00000024383	L	L	L
ENSCGOG00000013561	UL	UL	UL
ENSCGOG00000004100	UL	UL	UL
ENSCGOG00000019822	I	I	I
ENSCGOG00000005213	I	I	I
ENSCGOG00000005290	I	I	I
ENSCGOG00000001930	L	L	L
ENSCGOG00000013702	UL	UL	UL
ENSCGOG00000001172	I	I	I
ENSCGOG00000001833	I	I	I
ENSCGOG00000010024	UL	UL	UL
ENSCGOG00000014734	I	I	I
ENSCGOG00000024017	I	I	I
ENSCGOG00000019181	I	I	I
ENSCGOG00000017616	L	UL	UL
ENSCGOG00000019991	I	I	I
ENSCGOG00000005666	I	I	I
ENSCGOG00000004385	I	I	I
ENSCGOG00000024092	I	I	I
ENSCGOG00000022552	I	I	I
ENSCGOG00000020936	I	I	I
ENSCGOG00000019296	UL	UL	UL
ENSCGOG00000000669	UL	UL	UL
ENSCGOG00000019203	I	I	I
ENSCGOG00000016475	UL	UL	UL
ENSCGOG00000013635	I	I	I
ENSCGOG00000007776	I	I	I
ENSCGOG00000014071	I	I	I
ENSCGOG00000015111	I	UL	L
ENSCGOG00000019472	I	I	I
ENSCGOG00000017123	L	PM	L
ENSCGOG00000020692	I	I	I
ENSCGOG00000010504	I	I	I
ENSCGOG00000022926	M	M	M
ENSCGOG00000014197	L	L	L
ENSCGOG00000024289	I	I	I
ENSCGOG00000003550	I	I	I
ENSCGOG00000011943	I	PI	I
ENSCGOG00000005519	UL	UL	UL
ENSCGOG00000000734	I	I	I
ENSCGOG00000018562	I	I	I
ENSCGOG00000019799	L	M	PG
ENSCGOG00000021136	I	I	I
ENSCGOG00000001255	I	I	I
ENSCGOG00000016354	I	I	I
ENSCGOG00000021777	I	I	I
ENSCGOG00000021585	UL	UL	UL
ENSCGOG00000016066	I	I	I
ENSCGOG00000001075	I	I	I
ENSCGOG00000012331	UL	UL	UL
ENSCGOG00000007195	L	L	L
ENSCGOG00000017533	PG	PG	PG
ENSCGOG00000017665	I	I	I
ENSCGOG00000002543	I	I	I
ENSCGOG00000006636	I	I	I
ENSCGOG00000017695	I	I	I
ENSCGOG00000007691	M	L	L
ENSCGOG00000021771	I	I	I
ENSCGOG00000001794	I	I	I
ENSCGOG00000019200	I	I	I
ENSCGOG00000024716	I	I	I
ENSCGOG00000003072	I	I	I
ENSCGOG00000019946	I	I	I
ENSCGOG00000004121	UL	UL	UL
ENSCGOG00000001241	I	I	I
ENSCGOG00000019479	I	I	I
ENSCGOG00000008248	I	I	I
ENSCGOG00000008526	I	I	I
ENSCGOG00000014246	UL	UL	UL
ENSCGOG00000018786	I	I	I
ENSCGOG00000014699	I	I	I
ENSCGOG00000002997	UL	UL	UL
ENSCGOG00000007482	I	I	I
ENSCGOG00000018703	I	UL	UL
ENSCGOG00000016045	I	I	I
ENSCGOG00000016153	I	I	I
ENSCGOG00000006573	I	I	I
ENSCGOG00000018301	I	I	I
ENSCGOG00000016277	I	I	I
ENSCGOG00000022101	I	I	I
ENSCGOG00000009754	L	L	L
ENSCGOG00000007820	I	I	I
ENSCGOG00000007264	UL	UL	UL
ENSCGOG00000014780	I	I	I
ENSCGOG00000001666	L	L	L
ENSCGOG00000016520	I	I	I
ENSCGOG00000001790	I	I	I
ENSCGOG00000002549	UL	UL	UL
ENSCGOG00000009191	L	I	I
ENSCGOG00000007531	I	I	I
ENSCGOG00000011875	M	M	L
ENSCGOG00000009407	I	I	I
ENSCGOG00000017793	UL	UL	UL
ENSCGOG00000023940	I	I	I
ENSCGOG00000009742	I	I	I
ENSCGOG00000021364	I	I	I
ENSCGOG00000005971	I	I	I
ENSCGOG00000014494	I	I	I
ENSCGOG00000012178	UL	UL	UL
ENSCGOG00000024583	I	I	I
ENSCGOG00000013878	I	I	I
ENSCGOG00000011325	I	I	I
ENSCGOG00000004024	I	I	I
ENSCGOG00000002087	I	I	I
ENSCGOG00000007905	I	I	I
ENSCGOG00000000724	I	I	I
ENSCGOG00000017409	I	I	I
ENSCGOG00000021284	I	I	I
ENSCGOG00000021061	I	I	I
ENSCGOG00000001511	I	I	I
ENSCGOG00000012172	L	L	L
ENSCGOG00000024233	UL	L	L
ENSCGOG00000018726	I	I	I
ENSCGOG00000003016	L	L	L
ENSCGOG00000003051	L	L	L
ENSCGOG00000000277	I	I	I
ENSCGOG00000020866	I	I	I
ENSCGOG00000018375	I	I	I
ENSCGOG00000012806	I	I	I
ENSCGOG00000020430	I	I	I
ENSCGOG00000018285	I	I	I
ENSCGOG00000011315	I	I	I
ENSCGOG00000004778	I	I	I
ENSCGOG00000006747	I	I	I
ENSCGOG00000005205	I	M	M
ENSCGOG00000017978	I	I	I
ENSCGOG00000023086	I	I	I
ENSCGOG00000007283	UL	UL	UL
ENSCGOG00000024457	I	I	I
ENSCGOG00000022443	UL	UL	UL
ENSCGOG00000004923	I	I	I
ENSCGOG00000000497	UL	UL	UL
ENSCGOG00000015428	I	I	I
ENSCGOG00000013512	I	I	I
ENSCGOG00000003783	I	I	I
ENSCGOG00000012614	I	I	I
ENSCGOG00000010330	I	I	I
ENSCGOG00000020218	UL	L	M
ENSCGOG00000006885	L	L	L
ENSCGOG00000016724	UL	UL	UL
ENSCGOG00000018741	I	I	I
ENSCGOG00000001933	L	L	L
ENSCGOG00000024244	I	I	I
ENSCGOG00000010204	I	I	I
ENSCGOG00000002646	I	I	I
ENSCGOG00000005791	I	I	I
ENSCGOG00000012002	I	I	I
ENSCGOG00000024715	I	I	I
ENSCGOG00000021389	I	I	I
ENSCGOG00000002999	UL	UL	UL
ENSCGOG00000013111	I	I	I
ENSCGOG00000020723	I	I	I
ENSCGOG00000014514	I	I	I
ENSCGOG00000023169	I	I	I
ENSCGOG00000013028	I	I	I
ENSCGOG00000006106	I	I	I
ENSCGOG00000001743	I	I	I
ENSCGOG00000010479	I	I	I
ENSCGOG00000007815	L	L	L
ENSCGOG00000021855	UL	UL	UL
ENSCGOG00000013171	I	I	I
ENSCGOG00000004855	UL	UL	UL
ENSCGOG00000021843	I	I	I
ENSCGOG00000005707	I	I	I
ENSCGOG00000017723	I	I	I
ENSCGOG00000012246	UL	UL	UL
ENSCGOG00000014474	I	I	I
ENSCGOG00000009896	I	I	I
ENSCGOG00000000071	I	I	I
ENSCGOG00000016013	I	I	I
ENSCGOG00000018805	UL	UL	UL
ENSCGOG00000006033	I	I	I
ENSCGOG00000012633	I	I	I
ENSCGOG00000016500	I	I	I
ENSCGOG00000024601	I	I	I
ENSCGOG00000011677	I	I	I
ENSCGOG00000015221	I	I	I
ENSCGOG00000007050	I	I	I
ENSCGOG00000002327	I	I	I
ENSCGOG00000008280	I	I	I
ENSCGOG00000023063	I	I	I
ENSCGOG00000012215	I	I	I
ENSCGOG00000019992	I	I	I
ENSCGOG00000017365	I	I	I
ENSCGOG00000018057	UL	UL	UL
ENSCGOG00000017075	I	I	I
ENSCGOG00000011493	I	PI	PI
ENSCGOG00000004823	L	L	L
ENSCGOG00000005782	I	I	I
ENSCGOG00000000346	L	L	L
ENSCGOG00000022653	I	I	I
ENSCGOG00000014973	I	I	I
ENSCGOG00000016829	I	I	I
ENSCGOG00000005248	UL	UL	UL
ENSCGOG00000017251	L	M	M
ENSCGOG00000018149	UL	UL	UL
ENSCGOG00000019266	I	I	I
ENSCGOG00000001242	I	I	I
ENSCGOG00000011244	L	L	L
ENSCGOG00000023571	UL	UL	UL
ENSCGOG00000009554	L	L	L
ENSCGOG00000013397	I	I	I
ENSCGOG00000000212	I	I	I
ENSCGOG00000011082	I	I	I
ENSCGOG00000013502	I	I	I
ENSCGOG00000023991	UL	UL	UL
ENSCGOG00000021280	I	I	I
ENSCGOG00000010169	UL	UL	UL
ENSCGOG00000012378	I	I	I
ENSCGOG00000001236	L	M	PG
ENSCGOG00000009994	I	I	I
ENSCGOG00000019069	I	I	I
ENSCGOG00000003503	UL	PI	PI
ENSCGOG00000007558	I	I	I
ENSCGOG00000000730	I	UL	I
ENSCGOG00000017219	I	I	I
ENSCGOG00000016746	PG	M	M
ENSCGOG00000011175	L	M	M
ENSCGOG00000009110	I	I	I
ENSCGOG00000016310	I	I	I
ENSCGOG00000011013	I	I	I
ENSCGOG00000000608	I	I	I
ENSCGOG00000023389	I	I	I
ENSCGOG00000016820	L	L	L
ENSCGOG00000013983	I	I	I
ENSCGOG00000005984	I	I	I
ENSCGOG00000021773	I	I	I
ENSCGOG00000005622	I	I	I
ENSCGOG00000014580	PG	L	L
ENSCGOG00000017480	I	I	I
ENSCGOG00000012611	I	I	I
ENSCGOG00000020075	I	I	I
ENSCGOG00000005235	I	UL	UL
ENSCGOG00000005527	I	I	I
ENSCGOG00000000411	I	I	I
ENSCGOG00000003733	I	I	I
ENSCGOG00000003563	L	M	M
ENSCGOG00000000463	UL	UL	UL
ENSCGOG00000011153	I	I	I
ENSCGOG00000019278	I	I	I
ENSCGOG00000016627	I	I	I
ENSCGOG00000011713	I	I	I
ENSCGOG00000010496	I	I	I
ENSCGOG00000005304	I	I	I
ENSCGOG00000010757	I	L	L
ENSCGOG00000006626	I	I	I
ENSCGOG00000012582	I	I	I
ENSCGOG00000009746	I	I	I
ENSCGOG00000005294	UL	UL	UL
ENSCGOG00000024513	I	PI	PI
ENSCGOG00000022383	UL	UL	UL
ENSCGOG00000017330	I	I	I
ENSCGOG00000003472	PG	PG	PG
ENSCGOG00000016464	I	I	I
ENSCGOG00000006100	UL	UL	UL
ENSCGOG00000004357	UL	UL	UL
ENSCGOG00000007199	I	I	I
ENSCGOG00000022466	I	I	I
ENSCGOG00000018096	I	I	I
ENSCGOG00000010675	I	I	I
ENSCGOG00000003367	I	I	I
ENSCGOG00000012882	L	L	L
ENSCGOG00000007884	I	I	I
ENSCGOG00000004942	I	I	I
ENSCGOG00000017586	I	I	I
ENSCGOG00000009890	L	L	L
ENSCGOG00000015301	I	I	I
ENSCGOG00000014104	UL	UL	UL
ENSCGOG00000003579	I	I	L
ENSCGOG00000010508	I	I	I
ENSCGOG00000013662	L	M	M
ENSCGOG00000024355	I	UL	UL
ENSCGOG00000015970	I	I	I
ENSCGOG00000003382	I	UL	UL
ENSCGOG00000021074	I	I	I
ENSCGOG00000023930	I	I	I
ENSCGOG00000001224	I	I	I
ENSCGOG00000010235	I	I	I
ENSCGOG00000015299	I	I	I
ENSCGOG00000010285	I	I	I
ENSCGOG00000008841	I	I	I
ENSCGOG00000006904	I	I	I
ENSCGOG00000003949	I	I	I
ENSCGOG00000022719	I	I	I
ENSCGOG00000000341	L	UL	L
ENSCGOG00000005126	L	L	M
ENSCGOG00000007729	I	I	I
ENSCGOG00000004971	I	I	I
ENSCGOG00000007065	L	L	L
ENSCGOG00000012859	I	I	I
ENSCGOG00000004889	I	I	I
ENSCGOG00000011908	I	I	I
ENSCGOG00000010871	I	I	I
ENSCGOG00000010146	I	I	I
ENSCGOG00000022704	I	I	I
ENSCGOG00000024079	UL	UL	UL
ENSCGOG00000012495	I	I	I
ENSCGOG00000007624	L	L	L
ENSCGOG00000010000	I	I	I
ENSCGOG00000007501	I	I	I
ENSCGOG00000008489	L	L	L
ENSCGOG00000008119	I	I	I
ENSCGOG00000000593	I	I	I
ENSCGOG00000022815	I	I	I
ENSCGOG00000006456	I	I	I
ENSCGOG00000011909	UL	UL	UL
ENSCGOG00000003348	I	I	I
ENSCGOG00000011611	I	I	I
ENSCGOG00000002587	L	L	L
ENSCGOG00000024727	I	I	I
ENSCGOG00000008848	I	I	I
ENSCGOG00000010304	I	I	I
ENSCGOG00000014343	I	I	I
ENSCGOG00000020492	I	I	I
ENSCGOG00000021451	I	I	I
ENSCGOG00000010371	I	I	I
ENSCGOG00000019285	I	I	I
ENSCGOG00000022564	I	I	I
ENSCGOG00000022658	I	I	I
ENSCGOG00000014853	I	I	I
ENSCGOG00000000746	I	I	I
ENSCGOG00000019768	I	I	I
ENSCGOG00000018668	I	I	I
ENSCGOG00000007214	I	I	I
ENSCGOG00000009409	PI	L	L
ENSCGOG00000010203	L	L	L
ENSCGOG00000003126	UL	UL	UL
ENSCGOG00000012460	UL	UL	UL
ENSCGOG00000019925	I	I	I
ENSCGOG00000020089	I	I	I
ENSCGOG00000010850	I	I	I
ENSCGOG00000010487	L	L	M
ENSCGOG00000012547	I	I	I
ENSCGOG00000002552	I	I	I
ENSCGOG00000023045	I	I	I
ENSCGOG00000023633	I	I	I
ENSCGOG00000016003	I	I	I
ENSCGOG00000022132	I	I	I
ENSCGOG00000016593	I	I	I
ENSCGOG00000007867	UL	UL	UL
ENSCGOG00000013446	I	I	I
ENSCGOG00000010467	I	I	I
ENSCGOG00000020617	I	I	I
ENSCGOG00000010005	I	I	I
ENSCGOG00000005031	I	I	I
ENSCGOG00000013002	I	I	I
ENSCGOG00000021398	I	UL	UL
ENSCGOG00000022043	L	L	L
ENSCGOG00000005754	I	I	I
ENSCGOG00000018626	I	I	I
ENSCGOG00000024597	M	UL	M
ENSCGOG00000015917	I	I	I
ENSCGOG00000019186	I	I	I
ENSCGOG00000014159	I	I	I
ENSCGOG00000001534	I	UL	UL
ENSCGOG00000024077	I	I	I
ENSCGOG00000023132	I	I	I
ENSCGOG00000013465	I	I	I
ENSCGOG00000021479	I	I	I
ENSCGOG00000003528	I	I	I
ENSCGOG00000014412	L	L	PG
ENSCGOG00000023870	I	I	I
ENSCGOG00000021744	I	L	L
ENSCGOG00000005684	I	UL	UL
ENSCGOG00000016815	I	I	I
ENSCGOG00000005325	I	I	I
ENSCGOG00000022955	UL	UL	UL
ENSCGOG00000014167	I	I	I
ENSCGOG00000017827	I	I	I
ENSCGOG00000009568	L	L	L
ENSCGOG00000012037	UL	UL	UL
ENSCGOG00000020618	I	I	I
ENSCGOG00000019994	I	I	I
ENSCGOG00000009187	I	I	I
ENSCGOG00000024256	I	I	I
ENSCGOG00000008034	I	I	I
ENSCGOG00000012499	I	I	I
ENSCGOG00000006497	I	I	I
ENSCGOG00000004299	I	L	L
ENSCGOG00000011249	I	I	I
ENSCGOG00000011151	I	I	I
ENSCGOG00000002260	I	I	I
ENSCGOG00000000207	UL	UL	UL
ENSCGOG00000020340	I	I	I
ENSCGOG00000016764	PI	PI	PI
ENSCGOG00000009531	I	I	I
ENSCGOG00000005335	I	I	I
ENSCGOG00000005422	I	L	L
ENSCGOG00000001707	I	I	I
ENSCGOG00000023416	I	I	I
ENSCGOG00000007469	I	I	I
ENSCGOG00000017191	L	I	I
ENSCGOG00000018262	L	L	L
ENSCGOG00000003469	I	I	I
ENSCGOG00000020911	I	I	I
ENSCGOG00000020017	L	L	L
ENSCGOG00000011821	I	I	I
ENSCGOG00000006017	I	I	I
ENSCGOG00000020977	I	I	I
ENSCGOG00000014933	UL	UL	PG
ENSCGOG00000012437	UL	UL	UL
ENSCGOG00000007673	I	I	I
ENSCGOG00000000499	I	I	I
ENSCGOG00000001025	I	I	I
ENSCGOG00000017593	I	I	I
ENSCGOG00000011828	I	I	I
ENSCGOG00000019419	M	M	M
ENSCGOG00000013323	I	I	I
ENSCGOG00000008749	I	I	I
ENSCGOG00000003166	I	I	I
ENSCGOG00000022684	I	I	I
ENSCGOG00000000929	I	I	I
ENSCGOG00000009680	I	I	I
ENSCGOG00000014309	I	I	I
ENSCGOG00000014902	L	L	L
ENSCGOG00000023442	I	I	I
ENSCGOG00000014106	I	I	I
ENSCGOG00000010101	I	I	I
ENSCGOG00000010138	L	L	L
ENSCGOG00000022291	I	I	I
ENSCGOG00000018196	I	UL	UL
ENSCGOG00000006543	I	I	I
ENSCGOG00000020019	I	I	I
ENSCGOG00000018690	I	I	I
ENSCGOG00000020491	UL	UL	I
ENSCGOG00000014536	I	I	I
ENSCGOG00000020682	I	I	I
ENSCGOG00000015950	I	I	I
ENSCGOG00000017516	I	I	I
ENSCGOG00000002024	I	I	I
ENSCGOG00000020346	L	L	L
ENSCGOG00000022381	I	I	I
ENSCGOG00000016722	L	L	L
ENSCGOG00000018830	I	I	I
ENSCGOG00000023444	I	I	I
ENSCGOG00000015028	I	UL	UL
ENSCGOG00000013361	I	I	I
ENSCGOG00000007681	L	UL	UL
ENSCGOG00000003415	I	I	I
ENSCGOG00000004184	I	I	I
ENSCGOG00000019699	I	I	I
ENSCGOG00000013271	I	I	I
ENSCGOG00000024701	I	I	I
ENSCGOG00000010698	I	I	I
ENSCGOG00000003396	PG	PG	PG
ENSCGOG00000020348	L	L	L
ENSCGOG00000023161	I	I	I
ENSCGOG00000024178	I	I	I
ENSCGOG00000020628	I	I	I
ENSCGOG00000012728	I	I	I
ENSCGOG00000019756	I	I	I
ENSCGOG00000015288	M	M	I
ENSCGOG00000008059	I	I	I
ENSCGOG00000006405	I	I	I
ENSCGOG00000020077	I	I	I
ENSCGOG00000010756	I	I	I
ENSCGOG00000024461	I	I	I
ENSCGOG00000007823	I	I	I
ENSCGOG00000020712	I	I	I
ENSCGOG00000018911	I	I	I
ENSCGOG00000005667	I	UL	UL
ENSCGOG00000023868	I	I	I
ENSCGOG00000003516	I	I	I
ENSCGOG00000018231	I	I	I
ENSCGOG00000002360	I	I	I
ENSCGOG00000018233	I	I	I
ENSCGOG00000020448	L	PG	PG
ENSCGOG00000001552	I	I	I
ENSCGOG00000018256	UL	I	I
ENSCGOG00000007515	I	I	I
ENSCGOG00000005399	I	I	I
ENSCGOG00000022871	I	I	I
ENSCGOG00000009264	I	I	I
ENSCGOG00000021081	UL	UL	UL
ENSCGOG00000007499	I	I	I
ENSCGOG00000009214	I	I	I
ENSCGOG00000013599	I	I	I
ENSCGOG00000016130	I	M	I
ENSCGOG00000022685	I	I	I
ENSCGOG00000020690	I	I	I
ENSCGOG00000002565	L	L	L
ENSCGOG00000016535	I	I	I
ENSCGOG00000006718	L	L	L
ENSCGOG00000022317	I	I	I
ENSCGOG00000021069	I	I	I
ENSCGOG00000005139	UL	PM	UL
ENSCGOG00000002145	I	I	I
ENSCGOG00000001558	I	I	I
ENSCGOG00000019513	UL	UL	UL
ENSCGOG00000010227	I	I	I
ENSCGOG00000007277	I	I	I
ENSCGOG00000007130	PI	PI	PI
ENSCGOG00000012850	L	L	L
ENSCGOG00000015742	I	I	I
ENSCGOG00000014210	I	I	I
ENSCGOG00000017363	I	I	I
ENSCGOG00000006095	I	I	I
ENSCGOG00000014173	I	I	I
ENSCGOG00000020972	I	I	I
ENSCGOG00000013038	I	I	I
ENSCGOG00000021065	I	I	I
ENSCGOG00000023702	I	I	I
ENSCGOG00000023899	I	I	I
ENSCGOG00000015495	L	L	L
ENSCGOG00000020226	L	L	L
ENSCGOG00000007862	I	I	I
ENSCGOG00000014720	I	I	I
ENSCGOG00000016360	I	I	I
ENSCGOG00000012697	I	I	I
ENSCGOG00000005233	I	I	I
