Gene stable ID	Transcript stable ID
ENSCGOG00000000049	ENSCGOT00000000097
ENSCGOG00000000050	ENSCGOT00000000098
ENSCGOG00000000050	ENSCGOT00000000099
ENSCGOG00000000050	ENSCGOT00000000100
ENSCGOG00000000050	ENSCGOT00000000101
ENSCGOG00000000051	ENSCGOT00000000102
ENSCGOG00000000052	ENSCGOT00000000103
ENSCGOG00000000052	ENSCGOT00000000104
ENSCGOG00000000052	ENSCGOT00000000105
ENSCGOG00000000052	ENSCGOT00000000106
ENSCGOG00000000052	ENSCGOT00000000107
ENSCGOG00000000053	ENSCGOT00000000108
ENSCGOG00000000053	ENSCGOT00000000109
ENSCGOG00000000054	ENSCGOT00000000110
ENSCGOG00000000054	ENSCGOT00000000111
ENSCGOG00000000054	ENSCGOT00000000112
ENSCGOG00000000054	ENSCGOT00000000113
ENSCGOG00000000055	ENSCGOT00000000114
ENSCGOG00000000056	ENSCGOT00000000115
ENSCGOG00000000056	ENSCGOT00000000116
ENSCGOG00000000057	ENSCGOT00000000117
ENSCGOG00000000058	ENSCGOT00000000118
ENSCGOG00000000059	ENSCGOT00000000119
ENSCGOG00000000059	ENSCGOT00000000120
ENSCGOG00000000059	ENSCGOT00000000121
ENSCGOG00000000059	ENSCGOT00000000122
ENSCGOG00000000059	ENSCGOT00000000123
ENSCGOG00000000060	ENSCGOT00000000124
ENSCGOG00000000060	ENSCGOT00000000125
ENSCGOG00000000060	ENSCGOT00000000126
ENSCGOG00000000061	ENSCGOT00000000127
ENSCGOG00000000062	ENSCGOT00000000128
ENSCGOG00000000062	ENSCGOT00000000129
ENSCGOG00000000062	ENSCGOT00000000130
ENSCGOG00000000062	ENSCGOT00000000131
ENSCGOG00000000063	ENSCGOT00000000301
ENSCGOG00000000063	ENSCGOT00000000307
ENSCGOG00000000063	ENSCGOT00000000312
ENSCGOG00000000063	ENSCGOT00000000326
ENSCGOG00000000063	ENSCGOT00000000345
ENSCGOG00000000063	ENSCGOT00000000360
ENSCGOG00000000063	ENSCGOT00000000364
ENSCGOG00000000063	ENSCGOT00000000366
ENSCGOG00000000064	ENSCGOT00000000132
ENSCGOG00000000065	ENSCGOT00000000133
ENSCGOG00000000066	ENSCGOT00000000135
ENSCGOG00000000067	ENSCGOT00000000134
ENSCGOG00000000068	ENSCGOT00000000136
ENSCGOG00000000069	ENSCGOT00000000181
ENSCGOG00000000070	ENSCGOT00000000137
ENSCGOG00000000071	ENSCGOT00000000139
ENSCGOG00000000072	ENSCGOT00000000140
ENSCGOG00000000073	ENSCGOT00000000138
ENSCGOG00000000074	ENSCGOT00000000142
ENSCGOG00000000075	ENSCGOT00000000141
ENSCGOG00000000076	ENSCGOT00000000151
ENSCGOG00000000077	ENSCGOT00000000143
ENSCGOG00000000078	ENSCGOT00000000144
ENSCGOG00000000079	ENSCGOT00000000147
ENSCGOG00000000080	ENSCGOT00000000145
ENSCGOG00000000081	ENSCGOT00000000146
ENSCGOG00000000082	ENSCGOT00000000148
ENSCGOG00000000083	ENSCGOT00000000149
ENSCGOG00000000084	ENSCGOT00000000150
ENSCGOG00000000085	ENSCGOT00000000153
ENSCGOG00000000086	ENSCGOT00000000152
ENSCGOG00000000087	ENSCGOT00000000154
ENSCGOG00000000088	ENSCGOT00000000155
ENSCGOG00000000089	ENSCGOT00000000156
ENSCGOG00000000090	ENSCGOT00000000167
ENSCGOG00000000091	ENSCGOT00000000157
ENSCGOG00000000092	ENSCGOT00000000159
ENSCGOG00000000092	ENSCGOT00000000163
ENSCGOG00000000093	ENSCGOT00000000158
ENSCGOG00000000094	ENSCGOT00000000161
ENSCGOG00000000095	ENSCGOT00000000160
ENSCGOG00000000096	ENSCGOT00000000162
ENSCGOG00000000097	ENSCGOT00000000164
ENSCGOG00000000098	ENSCGOT00000000165
ENSCGOG00000000099	ENSCGOT00000000166
ENSCGOG00000000100	ENSCGOT00000000169
ENSCGOG00000000101	ENSCGOT00000000168
ENSCGOG00000000102	ENSCGOT00000000185
ENSCGOG00000000103	ENSCGOT00000000170
ENSCGOG00000000104	ENSCGOT00000000182
ENSCGOG00000000104	ENSCGOT00000000194
ENSCGOG00000000105	ENSCGOT00000000171
ENSCGOG00000000106	ENSCGOT00000000267
ENSCGOG00000000107	ENSCGOT00000000192
ENSCGOG00000000108	ENSCGOT00000000173
ENSCGOG00000000109	ENSCGOT00000000172
ENSCGOG00000000110	ENSCGOT00000000174
ENSCGOG00000000110	ENSCGOT00000000175
ENSCGOG00000000111	ENSCGOT00000000180
ENSCGOG00000000112	ENSCGOT00000000176
ENSCGOG00000000113	ENSCGOT00000000177
ENSCGOG00000000114	ENSCGOT00000000186
ENSCGOG00000000115	ENSCGOT00000000178
ENSCGOG00000000116	ENSCGOT00000000191
ENSCGOG00000000117	ENSCGOT00000000179
ENSCGOG00000000118	ENSCGOT00000000184
ENSCGOG00000000118	ENSCGOT00000000193
ENSCGOG00000000119	ENSCGOT00000000183
ENSCGOG00000000120	ENSCGOT00000000187
ENSCGOG00000000121	ENSCGOT00000000188
ENSCGOG00000000122	ENSCGOT00000000238
ENSCGOG00000000123	ENSCGOT00000000189
ENSCGOG00000000124	ENSCGOT00000000215
ENSCGOG00000000124	ENSCGOT00000000254
ENSCGOG00000000124	ENSCGOT00000000291
ENSCGOG00000000124	ENSCGOT00000000295
ENSCGOG00000000125	ENSCGOT00000000190
ENSCGOG00000000126	ENSCGOT00000000197
ENSCGOG00000000127	ENSCGOT00000000195
ENSCGOG00000000128	ENSCGOT00000000232
ENSCGOG00000000128	ENSCGOT00000000241
ENSCGOG00000000129	ENSCGOT00000000206
ENSCGOG00000000129	ENSCGOT00000000218
ENSCGOG00000000130	ENSCGOT00000000196
ENSCGOG00000000131	ENSCGOT00000000198
ENSCGOG00000000132	ENSCGOT00000000199
ENSCGOG00000000133	ENSCGOT00000000256
ENSCGOG00000000134	ENSCGOT00000000200
ENSCGOG00000000135	ENSCGOT00000000253
ENSCGOG00000000135	ENSCGOT00000000259
ENSCGOG00000000135	ENSCGOT00000000264
ENSCGOG00000000135	ENSCGOT00000000271
ENSCGOG00000000136	ENSCGOT00000000201
ENSCGOG00000000137	ENSCGOT00000000213
ENSCGOG00000000137	ENSCGOT00000000220
ENSCGOG00000000138	ENSCGOT00000000202
ENSCGOG00000000139	ENSCGOT00000000203
ENSCGOG00000000140	ENSCGOT00000000204
ENSCGOG00000000141	ENSCGOT00000000205
ENSCGOG00000000142	ENSCGOT00000000277
ENSCGOG00000000142	ENSCGOT00000000283
ENSCGOG00000000142	ENSCGOT00000000286
ENSCGOG00000000142	ENSCGOT00000000292
ENSCGOG00000000142	ENSCGOT00000000299
ENSCGOG00000000142	ENSCGOT00000000309
ENSCGOG00000000143	ENSCGOT00000000207
ENSCGOG00000000144	ENSCGOT00000000208
ENSCGOG00000000145	ENSCGOT00000000211
ENSCGOG00000000145	ENSCGOT00000000246
ENSCGOG00000000145	ENSCGOT00000000255
ENSCGOG00000000145	ENSCGOT00000000268
ENSCGOG00000000145	ENSCGOT00000000272
ENSCGOG00000000145	ENSCGOT00000000275
ENSCGOG00000000146	ENSCGOT00000000209
ENSCGOG00000000147	ENSCGOT00000000219
ENSCGOG00000000147	ENSCGOT00000000223
ENSCGOG00000000148	ENSCGOT00000000210
ENSCGOG00000000149	ENSCGOT00000000212
ENSCGOG00000000150	ENSCGOT00000000214
ENSCGOG00000000151	ENSCGOT00000000216
ENSCGOG00000000152	ENSCGOT00000000217
ENSCGOG00000000153	ENSCGOT00000000276
ENSCGOG00000000154	ENSCGOT00000000221
ENSCGOG00000000155	ENSCGOT00000000222
ENSCGOG00000000156	ENSCGOT00000000225
ENSCGOG00000000157	ENSCGOT00000000224
ENSCGOG00000000158	ENSCGOT00000000279
ENSCGOG00000000158	ENSCGOT00000000289
ENSCGOG00000000159	ENSCGOT00000000228
ENSCGOG00000000160	ENSCGOT00000000226
ENSCGOG00000000161	ENSCGOT00000000227
ENSCGOG00000000162	ENSCGOT00000000368
ENSCGOG00000000162	ENSCGOT00000000370
ENSCGOG00000000162	ENSCGOT00000000373
ENSCGOG00000000162	ENSCGOT00000000380
ENSCGOG00000000162	ENSCGOT00000000388
ENSCGOG00000000163	ENSCGOT00000000229
ENSCGOG00000000164	ENSCGOT00000000239
ENSCGOG00000000164	ENSCGOT00000000244
ENSCGOG00000000165	ENSCGOT00000000230
ENSCGOG00000000165	ENSCGOT00000000231
ENSCGOG00000000165	ENSCGOT00000000233
ENSCGOG00000000165	ENSCGOT00000000234
ENSCGOG00000000165	ENSCGOT00000000235
ENSCGOG00000000166	ENSCGOT00000000262
ENSCGOG00000000166	ENSCGOT00000000269
ENSCGOG00000000167	ENSCGOT00000000236
ENSCGOG00000000168	ENSCGOT00000000242
ENSCGOG00000000168	ENSCGOT00000000247
ENSCGOG00000000169	ENSCGOT00000000237
ENSCGOG00000000170	ENSCGOT00000000371
ENSCGOG00000000170	ENSCGOT00000000379
ENSCGOG00000000170	ENSCGOT00000000384
ENSCGOG00000000171	ENSCGOT00000000240
ENSCGOG00000000172	ENSCGOT00000000243
ENSCGOG00000000173	ENSCGOT00000000245
ENSCGOG00000000174	ENSCGOT00000000303
ENSCGOG00000000174	ENSCGOT00000000332
ENSCGOG00000000174	ENSCGOT00000000335
ENSCGOG00000000175	ENSCGOT00000000248
ENSCGOG00000000176	ENSCGOT00000000250
ENSCGOG00000000177	ENSCGOT00000000249
ENSCGOG00000000178	ENSCGOT00000000251
ENSCGOG00000000179	ENSCGOT00000000252
ENSCGOG00000000180	ENSCGOT00000000260
ENSCGOG00000000180	ENSCGOT00000000265
ENSCGOG00000000181	ENSCGOT00000000257
ENSCGOG00000000182	ENSCGOT00000000258
ENSCGOG00000000183	ENSCGOT00000000261
ENSCGOG00000000184	ENSCGOT00000000263
ENSCGOG00000000185	ENSCGOT00000000266
ENSCGOG00000000186	ENSCGOT00000000270
ENSCGOG00000000187	ENSCGOT00000000281
ENSCGOG00000000188	ENSCGOT00000000273
ENSCGOG00000000189	ENSCGOT00000000274
ENSCGOG00000000190	ENSCGOT00000000280
ENSCGOG00000000191	ENSCGOT00000000278
ENSCGOG00000000192	ENSCGOT00000000288
ENSCGOG00000000192	ENSCGOT00000000330
ENSCGOG00000000193	ENSCGOT00000000282
ENSCGOG00000000194	ENSCGOT00000000294
ENSCGOG00000000195	ENSCGOT00000000284
ENSCGOG00000000196	ENSCGOT00000000285
ENSCGOG00000000197	ENSCGOT00000000329
ENSCGOG00000000197	ENSCGOT00000000333
ENSCGOG00000000197	ENSCGOT00000000339
ENSCGOG00000000198	ENSCGOT00000000287
ENSCGOG00000000199	ENSCGOT00000000290
ENSCGOG00000000200	ENSCGOT00000000293
ENSCGOG00000000201	ENSCGOT00000000308
ENSCGOG00000000201	ENSCGOT00000000315
ENSCGOG00000000202	ENSCGOT00000000296
ENSCGOG00000000203	ENSCGOT00000000297
ENSCGOG00000000204	ENSCGOT00000000298
ENSCGOG00000000205	ENSCGOT00000000300
ENSCGOG00000000206	ENSCGOT00000000302
ENSCGOG00000000207	ENSCGOT00000000306
ENSCGOG00000000208	ENSCGOT00000000305
ENSCGOG00000000209	ENSCGOT00000000304
ENSCGOG00000000210	ENSCGOT00000000310
ENSCGOG00000000211	ENSCGOT00000000311
ENSCGOG00000000212	ENSCGOT00000000318
ENSCGOG00000000212	ENSCGOT00000000324
ENSCGOG00000000212	ENSCGOT00000000334
ENSCGOG00000000213	ENSCGOT00000000313
ENSCGOG00000000214	ENSCGOT00000000314
ENSCGOG00000000215	ENSCGOT00000000342
ENSCGOG00000000216	ENSCGOT00000000316
ENSCGOG00000000217	ENSCGOT00000000317
ENSCGOG00000000218	ENSCGOT00000000319
ENSCGOG00000000219	ENSCGOT00000000320
ENSCGOG00000000220	ENSCGOT00000000321
ENSCGOG00000000221	ENSCGOT00000000322
ENSCGOG00000000222	ENSCGOT00000000327
ENSCGOG00000000223	ENSCGOT00000000323
ENSCGOG00000000224	ENSCGOT00000000325
ENSCGOG00000000225	ENSCGOT00000000328
ENSCGOG00000000226	ENSCGOT00000000338
ENSCGOG00000000226	ENSCGOT00000000362
ENSCGOG00000000227	ENSCGOT00000000331
ENSCGOG00000000228	ENSCGOT00000000336
ENSCGOG00000000228	ENSCGOT00000000337
ENSCGOG00000000229	ENSCGOT00000000340
ENSCGOG00000000230	ENSCGOT00000000348
ENSCGOG00000000231	ENSCGOT00000000369
ENSCGOG00000000231	ENSCGOT00000000376
ENSCGOG00000000231	ENSCGOT00000000385
ENSCGOG00000000231	ENSCGOT00000000391
ENSCGOG00000000231	ENSCGOT00000000398
ENSCGOG00000000231	ENSCGOT00000000403
ENSCGOG00000000231	ENSCGOT00000000405
ENSCGOG00000000231	ENSCGOT00000000406
ENSCGOG00000000232	ENSCGOT00000000347
ENSCGOG00000000233	ENSCGOT00000000341
ENSCGOG00000000233	ENSCGOT00000000343
ENSCGOG00000000234	ENSCGOT00000000344
ENSCGOG00000000235	ENSCGOT00000000346
ENSCGOG00000000236	ENSCGOT00000000349
ENSCGOG00000000237	ENSCGOT00000000428
ENSCGOG00000000237	ENSCGOT00000000433
ENSCGOG00000000237	ENSCGOT00000000448
ENSCGOG00000000237	ENSCGOT00000000453
ENSCGOG00000000237	ENSCGOT00000000456
ENSCGOG00000000238	ENSCGOT00000000350
ENSCGOG00000000239	ENSCGOT00000000352
ENSCGOG00000000240	ENSCGOT00000000351
ENSCGOG00000000241	ENSCGOT00000000355
ENSCGOG00000000241	ENSCGOT00000000358
ENSCGOG00000000241	ENSCGOT00000000359
ENSCGOG00000000242	ENSCGOT00000000353
ENSCGOG00000000243	ENSCGOT00000000354
ENSCGOG00000000244	ENSCGOT00000000365
ENSCGOG00000000245	ENSCGOT00000000356
ENSCGOG00000000246	ENSCGOT00000000357
ENSCGOG00000000247	ENSCGOT00000000361
ENSCGOG00000000248	ENSCGOT00000000363
ENSCGOG00000000249	ENSCGOT00000000424
ENSCGOG00000000249	ENSCGOT00000000430
ENSCGOG00000000249	ENSCGOT00000000434
ENSCGOG00000000250	ENSCGOT00000000372
ENSCGOG00000000250	ENSCGOT00000000374
ENSCGOG00000000250	ENSCGOT00000000377
ENSCGOG00000000250	ENSCGOT00000000381
ENSCGOG00000000251	ENSCGOT00000000367
ENSCGOG00000000252	ENSCGOT00000000375
ENSCGOG00000000252	ENSCGOT00000000386
ENSCGOG00000000252	ENSCGOT00000000387
ENSCGOG00000000253	ENSCGOT00000000378
ENSCGOG00000000253	ENSCGOT00000000383
ENSCGOG00000000253	ENSCGOT00000000397
ENSCGOG00000000253	ENSCGOT00000000399
ENSCGOG00000000253	ENSCGOT00000000401
ENSCGOG00000000254	ENSCGOT00000000412
ENSCGOG00000000254	ENSCGOT00000000415
ENSCGOG00000000254	ENSCGOT00000000417
ENSCGOG00000000255	ENSCGOT00000000382
ENSCGOG00000000256	ENSCGOT00000000413
ENSCGOG00000000256	ENSCGOT00000000419
ENSCGOG00000000256	ENSCGOT00000000420
ENSCGOG00000000256	ENSCGOT00000000422
ENSCGOG00000000256	ENSCGOT00000000425
ENSCGOG00000000257	ENSCGOT00000000389
ENSCGOG00000000258	ENSCGOT00000000491
ENSCGOG00000000258	ENSCGOT00000000492
ENSCGOG00000000258	ENSCGOT00000000516
ENSCGOG00000000258	ENSCGOT00000000539
ENSCGOG00000000258	ENSCGOT00000000555
ENSCGOG00000000258	ENSCGOT00000000562
ENSCGOG00000000258	ENSCGOT00000000565
ENSCGOG00000000258	ENSCGOT00000000580
ENSCGOG00000000259	ENSCGOT00000000431
ENSCGOG00000000259	ENSCGOT00000000449
ENSCGOG00000000259	ENSCGOT00000000463
ENSCGOG00000000259	ENSCGOT00000000473
ENSCGOG00000000259	ENSCGOT00000000478
ENSCGOG00000000259	ENSCGOT00000000480
ENSCGOG00000000259	ENSCGOT00000000486
ENSCGOG00000000259	ENSCGOT00000000490
ENSCGOG00000000259	ENSCGOT00000000495
ENSCGOG00000000259	ENSCGOT00000000509
ENSCGOG00000000260	ENSCGOT00000000390
ENSCGOG00000000260	ENSCGOT00000000393
ENSCGOG00000000261	ENSCGOT00000000392
ENSCGOG00000000261	ENSCGOT00000000394
ENSCGOG00000000261	ENSCGOT00000000395
ENSCGOG00000000262	ENSCGOT00000000396
ENSCGOG00000000263	ENSCGOT00000000400
ENSCGOG00000000264	ENSCGOT00000000402
ENSCGOG00000000265	ENSCGOT00000000404
ENSCGOG00000000266	ENSCGOT00000000451
ENSCGOG00000000266	ENSCGOT00000000469
ENSCGOG00000000266	ENSCGOT00000000489
ENSCGOG00000000266	ENSCGOT00000000519
ENSCGOG00000000266	ENSCGOT00000000538
ENSCGOG00000000266	ENSCGOT00000000560
ENSCGOG00000000267	ENSCGOT00000000408
ENSCGOG00000000268	ENSCGOT00000000414
ENSCGOG00000000268	ENSCGOT00000000418
ENSCGOG00000000268	ENSCGOT00000000421
ENSCGOG00000000269	ENSCGOT00000000407
ENSCGOG00000000270	ENSCGOT00000000410
ENSCGOG00000000271	ENSCGOT00000000409
ENSCGOG00000000272	ENSCGOT00000000575
ENSCGOG00000000272	ENSCGOT00000000578
ENSCGOG00000000272	ENSCGOT00000000583
ENSCGOG00000000272	ENSCGOT00000000585
ENSCGOG00000000272	ENSCGOT00000000589
ENSCGOG00000000272	ENSCGOT00000000591
ENSCGOG00000000272	ENSCGOT00000000594
ENSCGOG00000000273	ENSCGOT00000000436
ENSCGOG00000000273	ENSCGOT00000000440
ENSCGOG00000000273	ENSCGOT00000000447
ENSCGOG00000000273	ENSCGOT00000000450
ENSCGOG00000000273	ENSCGOT00000000454
ENSCGOG00000000273	ENSCGOT00000000459
ENSCGOG00000000274	ENSCGOT00000000411
ENSCGOG00000000274	ENSCGOT00000000416
ENSCGOG00000000274	ENSCGOT00000000442
ENSCGOG00000000274	ENSCGOT00000000445
ENSCGOG00000000274	ENSCGOT00000000452
ENSCGOG00000000274	ENSCGOT00000000474
ENSCGOG00000000274	ENSCGOT00000000475
ENSCGOG00000000274	ENSCGOT00000000581
ENSCGOG00000000274	ENSCGOT00000000646
ENSCGOG00000000275	ENSCGOT00000000500
ENSCGOG00000000275	ENSCGOT00000000517
ENSCGOG00000000275	ENSCGOT00000000530
ENSCGOG00000000275	ENSCGOT00000000558
ENSCGOG00000000275	ENSCGOT00000000577
ENSCGOG00000000275	ENSCGOT00000000590
ENSCGOG00000000275	ENSCGOT00000000593
ENSCGOG00000000275	ENSCGOT00000000597
ENSCGOG00000000275	ENSCGOT00000000598
ENSCGOG00000000275	ENSCGOT00000000612
ENSCGOG00000000276	ENSCGOT00000000439
ENSCGOG00000000277	ENSCGOT00000000624
ENSCGOG00000000277	ENSCGOT00000000670
ENSCGOG00000000277	ENSCGOT00000000694
ENSCGOG00000000277	ENSCGOT00000000697
ENSCGOG00000000277	ENSCGOT00000000702
ENSCGOG00000000277	ENSCGOT00000000707
ENSCGOG00000000277	ENSCGOT00000000715
ENSCGOG00000000277	ENSCGOT00000000721
ENSCGOG00000000278	ENSCGOT00000000455
ENSCGOG00000000278	ENSCGOT00000000457
ENSCGOG00000000278	ENSCGOT00000000460
ENSCGOG00000000278	ENSCGOT00000000465
ENSCGOG00000000278	ENSCGOT00000000470
ENSCGOG00000000278	ENSCGOT00000000472
ENSCGOG00000000279	ENSCGOT00000000423
ENSCGOG00000000280	ENSCGOT00000000584
ENSCGOG00000000280	ENSCGOT00000000595
ENSCGOG00000000280	ENSCGOT00000000601
ENSCGOG00000000280	ENSCGOT00000000604
ENSCGOG00000000280	ENSCGOT00000000617
ENSCGOG00000000280	ENSCGOT00000000625
ENSCGOG00000000280	ENSCGOT00000000631
ENSCGOG00000000280	ENSCGOT00000000652
ENSCGOG00000000280	ENSCGOT00000000655
ENSCGOG00000000280	ENSCGOT00000000674
ENSCGOG00000000281	ENSCGOT00000000497
ENSCGOG00000000281	ENSCGOT00000000503
ENSCGOG00000000281	ENSCGOT00000000532
ENSCGOG00000000281	ENSCGOT00000000544
ENSCGOG00000000281	ENSCGOT00000000548
ENSCGOG00000000281	ENSCGOT00000000551
ENSCGOG00000000282	ENSCGOT00000000427
ENSCGOG00000000283	ENSCGOT00000000426
ENSCGOG00000000284	ENSCGOT00000000609
ENSCGOG00000000284	ENSCGOT00000000613
ENSCGOG00000000284	ENSCGOT00000000627
ENSCGOG00000000284	ENSCGOT00000000632
ENSCGOG00000000284	ENSCGOT00000000637
ENSCGOG00000000284	ENSCGOT00000000653
ENSCGOG00000000285	ENSCGOT00000000429
ENSCGOG00000000286	ENSCGOT00000000432
ENSCGOG00000000287	ENSCGOT00000000606
ENSCGOG00000000287	ENSCGOT00000000628
ENSCGOG00000000287	ENSCGOT00000000634
ENSCGOG00000000287	ENSCGOT00000000636
ENSCGOG00000000287	ENSCGOT00000000651
ENSCGOG00000000288	ENSCGOT00000000435
ENSCGOG00000000289	ENSCGOT00000000615
ENSCGOG00000000289	ENSCGOT00000000794
ENSCGOG00000000289	ENSCGOT00000000801
ENSCGOG00000000289	ENSCGOT00000000803
ENSCGOG00000000289	ENSCGOT00000000806
ENSCGOG00000000289	ENSCGOT00000000820
ENSCGOG00000000289	ENSCGOT00000000823
ENSCGOG00000000289	ENSCGOT00000000824
ENSCGOG00000000289	ENSCGOT00000000825
ENSCGOG00000000289	ENSCGOT00000000827
ENSCGOG00000000290	ENSCGOT00000000438
ENSCGOG00000000291	ENSCGOT00000000437
ENSCGOG00000000292	ENSCGOT00000000441
ENSCGOG00000000293	ENSCGOT00000000443
ENSCGOG00000000293	ENSCGOT00000000446
ENSCGOG00000000294	ENSCGOT00000000444
ENSCGOG00000000295	ENSCGOT00000000506
ENSCGOG00000000295	ENSCGOT00000000515
ENSCGOG00000000295	ENSCGOT00000000529
ENSCGOG00000000295	ENSCGOT00000000537
ENSCGOG00000000295	ENSCGOT00000000542
ENSCGOG00000000295	ENSCGOT00000000547
ENSCGOG00000000296	ENSCGOT00000000496
ENSCGOG00000000296	ENSCGOT00000000499
ENSCGOG00000000296	ENSCGOT00000000505
ENSCGOG00000000297	ENSCGOT00000000461
ENSCGOG00000000297	ENSCGOT00000000476
ENSCGOG00000000297	ENSCGOT00000000477
ENSCGOG00000000297	ENSCGOT00000000481
ENSCGOG00000000297	ENSCGOT00000000483
ENSCGOG00000000297	ENSCGOT00000000487
ENSCGOG00000000298	ENSCGOT00000000458
ENSCGOG00000000299	ENSCGOT00000000501
ENSCGOG00000000299	ENSCGOT00000000508
ENSCGOG00000000299	ENSCGOT00000000512
ENSCGOG00000000299	ENSCGOT00000000524
ENSCGOG00000000299	ENSCGOT00000000540
ENSCGOG00000000299	ENSCGOT00000000554
ENSCGOG00000000300	ENSCGOT00000000462
ENSCGOG00000000301	ENSCGOT00000000464
ENSCGOG00000000302	ENSCGOT00000000466
ENSCGOG00000000303	ENSCGOT00000000467
ENSCGOG00000000304	ENSCGOT00000000468
ENSCGOG00000000304	ENSCGOT00000000471
ENSCGOG00000000305	ENSCGOT00000000518
ENSCGOG00000000305	ENSCGOT00000000521
ENSCGOG00000000305	ENSCGOT00000000528
ENSCGOG00000000305	ENSCGOT00000000531
ENSCGOG00000000305	ENSCGOT00000000536
